team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,54,39,.581,-,20,-,9-1
New York Yankees,Unknown,52,41,.559,2.0,106,+3.0,4-6
Tampa Bay Rays,Unknown,50,44,.532,4.5,66,+0.5,3-7
Boston Red Sox,Unknown,50,45,.526,5.0,56,-,9-1
Baltimore Orioles,Unknown,42,50,.457,11.5,-77,6.5,7-3
Detroit Tigers,Unknown,59,35,.628,-,108,-,7-3
Kansas City Royals,Unknown,46,48,.489,13.0,-22,3.5,7-3
Minnesota Twins,Unknown,45,48,.484,13.5,-16,4.0,5-5
Cleveland Guardians,Unknown,43,48,.473,14.5,-51,5.0,3-7
Chicago White Sox,Unknown,31,62,.333,27.5,-92,18.0,4-6
Houston Astros,Unknown,55,38,.591,-,63,-,6-4
Seattle Mariners,Unknown,48,45,.516,7.0,11,1.0,5-5
Texas Rangers,Unknown,46,48,.489,9.5,40,3.5,5-5
Los Angeles Angels,Unknown,45,48,.484,10.0,-64,4.0,4-6
Athletics,Unknown,39,56,.411,17.0,-137,11.0,5-5
Philadelphia Phillies,Unknown,54,39,.581,-,65,-,6-4
New York Mets,Unknown,53,41,.564,1.5,39,+2.0,5-5
Miami Marlins,Unknown,42,50,.457,11.5,-68,8.0,5-5
Atlanta Braves,Unknown,40,52,.435,13.5,1,10.0,2-8
Washington Nationals,Unknown,38,55,.409,16.0,-89,12.5,4-6
Chicago Cubs,Unknown,55,38,.591,-,124,-,6-4
Milwaukee Brewers,Unknown,53,40,.570,2.0,68,+2.5,6-4
St. Louis Cardinals,Unknown,50,44,.532,5.5,18,1.0,4-6
Cincinnati Reds,Unknown,48,46,.511,7.5,29,3.0,4-6
Pittsburgh Pirates,Unknown,38,56,.404,17.5,-45,13.0,4-6
Los Angeles Dodgers,Unknown,56,38,.596,-,66,-,4-6
San Francisco Giants,Unknown,51,43,.543,5.0,20,-,6-4
San Diego Padres,Unknown,50,43,.538,5.5,5,0.5,5-5
Arizona Diamondbacks,Unknown,46,48,.489,10.0,7,5.0,4-6
Colorado Rockies,Unknown,21,72,.226,34.5,-251,29.5,3-7
