team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,64,47,.577,-,17,-,5-5
New York Yankees,Unknown,60,50,.545,3.5,98,+1.5,5-5
Boston Red Sox,Unknown,60,51,.541,4.0,69,+1.0,6-4
Tampa Bay Rays,Unknown,54,57,.486,10.0,45,5.0,2-8
Baltimore Orioles,Unknown,50,60,.455,13.5,-68,8.5,6-4
Detroit Tigers,Unknown,64,47,.577,-,80,-,4-6
Cleveland Guardians,Unknown,55,54,.505,8.0,-28,3.0,6-4
Kansas City Royals,Unknown,55,55,.500,8.5,-12,3.5,7-3
Minnesota Twins,Unknown,51,58,.468,12.0,-34,7.0,3-7
Chicago White Sox,Unknown,41,69,.373,22.5,-61,17.5,6-4
Houston Astros,Unknown,62,48,.564,-,48,-,4-6
Seattle Mariners,Unknown,59,52,.532,3.5,23,-,5-5
Texas Rangers,Unknown,57,54,.514,5.5,65,2.0,6-4
Los Angeles Angels,Unknown,53,57,.482,9.0,-69,5.5,4-6
Athletics,Unknown,49,63,.438,14.0,-113,10.5,7-3
Philadelphia Phillies,Unknown,62,47,.569,-,68,-,6-4
New York Mets,Unknown,62,48,.564,0.5,42,+1.0,6-4
Miami Marlins,Unknown,53,55,.491,8.5,-46,7.0,7-3
Atlanta Braves,Unknown,46,63,.422,16.0,-24,14.5,2-8
Washington Nationals,Unknown,44,65,.404,18.0,-117,16.5,5-5
Milwaukee Brewers,Unknown,65,44,.596,-,102,-,6-4
Chicago Cubs,Unknown,64,45,.587,1.0,114,+3.5,5-5
Cincinnati Reds,Unknown,58,53,.523,8.0,44,3.5,6-4
St. Louis Cardinals,Unknown,55,56,.495,11.0,-12,6.5,3-7
Pittsburgh Pirates,Unknown,47,63,.427,18.5,-52,14.0,8-2
Los Angeles Dodgers,Unknown,64,46,.582,-,72,-,6-4
San Diego Padres,Unknown,61,49,.555,3.0,35,-,6-4
San Francisco Giants,Unknown,55,55,.500,9.0,6,6.0,3-7
Arizona Diamondbacks,Unknown,51,59,.464,13.0,-16,10.0,1-9
Colorado Rockies,Unknown,29,80,.266,34.5,-276,31.5,5-5
