team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,77,56,.579,-,59,-,5-5
Boston Red Sox,Unknown,73,60,.549,4.0,106,+2.0,6-4
New York Yankees,Unknown,72,60,.545,4.5,110,+1.5,7-3
Tampa Bay Rays,Unknown,64,68,.485,12.5,39,6.5,5-5
Baltimore Orioles,Unknown,60,72,.455,16.5,-78,10.5,4-6
Detroit Tigers,Unknown,78,56,.582,-,92,-,6-4
Kansas City Royals,Unknown,68,65,.511,9.5,-9,3.0,6-4
Cleveland Guardians,Unknown,65,66,.496,11.5,-56,5.0,2-8
Minnesota Twins,Unknown,60,72,.455,17.0,-61,10.5,3-7
Chicago White Sox,Unknown,48,84,.364,29.0,-66,22.5,4-6
Houston Astros,Unknown,72,60,.545,-,14,-,4-6
Seattle Mariners,Unknown,71,62,.534,1.5,24,-,3-7
Texas Rangers,Unknown,67,67,.500,6.0,63,4.5,6-4
Los Angeles Angels,Unknown,62,70,.470,10.0,-88,8.5,3-7
Athletics,Unknown,62,72,.463,11.0,-86,9.5,7-3
Philadelphia Phillies,Unknown,76,56,.576,-,90,-,6-4
New York Mets,Unknown,71,61,.538,5.0,58,-,7-3
Miami Marlins,Unknown,62,70,.470,14.0,-72,9.0,4-6
Atlanta Braves,Unknown,60,72,.455,16.0,-13,11.0,6-4
Washington Nationals,Unknown,53,79,.402,23.0,-162,18.0,4-6
Milwaukee Brewers,Unknown,83,50,.624,-,162,-,5-5
Chicago Cubs,Unknown,76,56,.576,6.5,123,+5.0,7-3
Cincinnati Reds,Unknown,68,65,.511,15.0,38,3.5,4-6
St. Louis Cardinals,Unknown,65,68,.489,18.0,-36,6.5,4-6
Pittsburgh Pirates,Unknown,58,75,.436,25.0,-66,13.5,6-4
Los Angeles Dodgers,Unknown,76,57,.571,-,104,-,6-4
San Diego Padres,Unknown,75,58,.564,1.0,55,+3.5,6-4
San Francisco Giants,Unknown,64,68,.485,11.5,-7,7.0,5-5
Arizona Diamondbacks,Unknown,64,69,.481,12.0,7,7.5,4-6
Colorado Rockies,Unknown,38,94,.288,37.5,-344,33.0,5-5
