team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,90,66,.577,-,66,-,6-4
New York Yankees,Unknown,88,68,.564,2.0,144,+4.0,7-3
Boston Red Sox,Unknown,85,71,.545,5.0,105,+1.0,4-6
Tampa Bay Rays,Unknown,76,80,.487,14.0,49,8.0,4-6
Baltimore Orioles,Unknown,73,83,.468,17.0,-104,11.0,4-6
Detroit Tigers,Unknown,85,71,.545,-,73,-,1-9
Cleveland Guardians,Unknown,84,72,.538,1.0,-9,-,9-1
Kansas City Royals,Unknown,78,78,.500,7.0,-2,6.0,4-6
Minnesota Twins,Unknown,67,89,.429,18.0,-102,17.0,3-7
Chicago White Sox,Unknown,58,98,.372,27.0,-93,26.0,2-8
Seattle Mariners,Unknown,87,69,.558,-,68,-,9-1
Houston Astros,Unknown,84,72,.538,3.0,17,-,5-5
Texas Rangers,Unknown,79,77,.506,8.0,82,5.0,3-7
Athletics,Unknown,73,83,.468,14.0,-80,11.0,7-3
Los Angeles Angels,Unknown,70,86,.449,17.0,-148,14.0,1-9
Philadelphia Phillies,Unknown,92,64,.590,-,122,-,6-4
New York Mets,Unknown,80,76,.513,12.0,56,-,4-6
Miami Marlins,Unknown,76,80,.487,16.0,-82,4.0,9-1
Atlanta Braves,Unknown,74,83,.471,18.5,-5,6.5,9-1
Washington Nationals,Unknown,64,93,.408,28.5,-204,16.5,3-7
Milwaukee Brewers,Unknown,95,62,.605,-,180,-,6-4
Chicago Cubs,Unknown,88,68,.564,6.5,125,+8.0,5-5
Cincinnati Reds,Unknown,80,76,.513,14.5,34,-,6-4
St. Louis Cardinals,Unknown,77,80,.490,18.0,-48,3.5,5-5
Pittsburgh Pirates,Unknown,67,89,.429,27.5,-69,13.0,3-7
Los Angeles Dodgers,Unknown,88,68,.564,-,126,-,6-4
San Diego Padres,Unknown,86,71,.548,2.5,61,+5.5,6-4
Arizona Diamondbacks,Unknown,79,77,.506,9.0,29,1.0,7-3
San Francisco Giants,Unknown,77,80,.490,11.5,13,3.5,2-8
Colorado Rockies,Unknown,43,113,.276,45.0,-404,37.0,3-7
