team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,55,39,.585,-,21,-,9-1
New York Yankees,Unknown,53,41,.564,2.0,117,+3.5,5-5
Boston Red Sox,Unknown,51,45,.531,5.0,57,+0.5,9-1
Tampa Bay Rays,Unknown,50,45,.526,5.5,65,-,3-7
Baltimore Orioles,Unknown,43,50,.462,11.5,-74,6.0,7-3
Detroit Tigers,Unknown,59,36,.621,-,99,-,6-4
Minnesota Twins,Unknown,46,48,.489,12.5,-15,3.5,6-4
Kansas City Royals,Unknown,46,49,.484,13.0,-27,4.0,7-3
Cleveland Guardians,Unknown,44,49,.473,14.0,-50,5.0,4-6
Chicago White Sox,Unknown,32,63,.337,27.0,-93,18.0,4-6
Houston Astros,Unknown,55,39,.585,-,59,-,5-5
Seattle Mariners,Unknown,49,45,.521,6.0,20,0.5,5-5
Texas Rangers,Unknown,47,48,.495,8.5,44,3.0,6-4
Los Angeles Angels,Unknown,46,48,.489,9.0,-63,3.5,4-6
Athletics,Unknown,39,57,.406,17.0,-138,11.5,5-5
Philadelphia Phillies,Unknown,54,40,.574,-,63,-,5-5
New York Mets,Unknown,54,41,.568,0.5,44,+2.0,6-4
Miami Marlins,Unknown,42,51,.452,11.5,-71,9.0,4-6
Atlanta Braves,Unknown,41,52,.441,12.5,2,10.0,3-7
Washington Nationals,Unknown,38,56,.404,16.0,-94,13.5,3-7
Chicago Cubs,Unknown,55,39,.585,-,113,-,6-4
Milwaukee Brewers,Unknown,54,40,.574,1.0,73,+2.5,7-3
St. Louis Cardinals,Unknown,50,45,.526,5.5,17,2.0,3-7
Cincinnati Reds,Unknown,48,47,.505,7.5,28,4.0,4-6
Pittsburgh Pirates,Unknown,38,57,.400,17.5,-46,14.0,3-7
Los Angeles Dodgers,Unknown,56,39,.589,-,65,-,3-7
San Francisco Giants,Unknown,52,43,.547,4.0,21,-,7-3
San Diego Padres,Unknown,51,43,.543,4.5,7,0.5,6-4
Arizona Diamondbacks,Unknown,46,49,.484,10.0,6,6.0,3-7
Colorado Rockies,Unknown,22,72,.234,33.5,-250,29.5,3-7
