team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,89,64,.582,-,83,-,7-3
New York Yankees,Unknown,86,67,.562,3.0,135,+3.0,6-4
Boston Red Sox,Unknown,83,70,.542,6.0,102,-,5-5
Tampa Bay Rays,Unknown,75,78,.490,14.0,52,8.0,4-6
Baltimore Orioles,Unknown,72,81,.471,17.0,-95,11.0,6-4
Detroit Tigers,Unknown,85,68,.556,-,87,-,3-7
Cleveland Guardians,Unknown,81,71,.533,3.5,-23,1.5,9-1
Kansas City Royals,Unknown,76,77,.497,9.0,-19,7.0,3-7
Minnesota Twins,Unknown,66,86,.434,18.5,-88,16.5,4-6
Chicago White Sox,Unknown,57,96,.373,28.0,-89,26.0,3-7
Houston Astros,Unknown,84,69,.549,-,27,+1.0,6-4
Seattle Mariners,Unknown,84,69,.549,-,58,+1.0,9-1
Texas Rangers,Unknown,79,74,.516,5.0,87,4.0,6-4
Athletics,Unknown,72,81,.471,12.0,-68,11.0,6-4
Los Angeles Angels,Unknown,69,84,.451,15.0,-148,14.0,2-8
Philadelphia Phillies,Unknown,91,62,.595,-,124,-,8-2
New York Mets,Unknown,79,74,.516,12.0,53,-,3-7
Miami Marlins,Unknown,73,80,.477,18.0,-87,6.0,7-3
Atlanta Braves,Unknown,70,83,.458,21.0,-25,9.0,6-4
Washington Nationals,Unknown,62,91,.405,29.0,-195,17.0,3-7
Milwaukee Brewers,Unknown,94,59,.614,-,190,-,6-4
Chicago Cubs,Unknown,88,65,.575,6.0,132,+9.0,7-3
Cincinnati Reds,Unknown,77,76,.503,17.0,27,2.0,5-5
St. Louis Cardinals,Unknown,74,79,.484,20.0,-58,5.0,3-7
Pittsburgh Pirates,Unknown,65,88,.425,29.0,-81,14.0,1-9
Los Angeles Dodgers,Unknown,86,67,.562,-,123,-,7-3
San Diego Padres,Unknown,83,70,.542,3.0,56,+4.0,5-5
Arizona Diamondbacks,Unknown,77,76,.503,9.0,27,2.0,5-5
San Francisco Giants,Unknown,76,77,.497,10.0,17,3.0,4-6
Colorado Rockies,Unknown,41,112,.268,45.0,-404,38.0,1-9
