Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,42,24,0.636,L 1,4.9,3.5,1.3,0.0,1.3,42-24,0.0,10-2,13-8,7-6,12-8,22-9,20-15,2-4,12-7,30-20,12-4,24-19,18-5,6-4,12-8,19-11
2.0,New York Mets,41,24,0.631,W 2,4.5,3.3,1.2,-0.2,1.1,42-23,-1.0,9-4,9-4,12-6,11-10,24-7,17-17,3-3,13-10,32-17,9-7,20-12,21-12,7-3,13-7,19-11
3.0,Chicago Cubs,40,24,0.625,W 1,5.7,4.0,1.7,-0.1,1.6,42-22,-2.0,8-7,8-4,15-11,9-2,20-11,20-13,3-3,9-4,30-15,10-9,13-14,27-10,7-3,15-5,19-11
4.0,New York Yankees,39,24,0.619,L 1,5.4,3.9,1.6,-0.1,1.5,41-22,-2.0,8-7,7-5,10-2,14-10,21-11,18-13,1-3,11-11,31-18,8-6,24-16,15-8,6-4,14-6,20-10
5.0,Los Angeles Dodgers,38,27,0.585,L 2,5.5,4.5,1.1,0.0,1.1,39-26,-1.0,15-10,5-7,7-3,11-7,23-11,15-16,5-3,10-9,29-16,9-11,14-14,24-13,4-6,9-11,14-16
6.0,Philadelphia Phillies,37,27,0.578,L 4,4.6,4.4,0.3,-0.3,0.0,34-30,3.0,9-9,7-10,13-4,8-4,19-12,18-15,4-4,11-7,29-15,8-12,14-17,23-10,2-8,11-9,18-12
7.0,San Diego Padres,36,27,0.571,L 1,4.1,3.8,0.3,-0.1,0.2,33-30,3.0,8-2,9-5,9-3,10-17,20-10,16-17,3-3,13-8,25-17,11-10,14-21,22-6,5-5,9-11,14-16
8.0,San Francisco Giants,37,28,0.569,W 4,4.1,3.4,0.7,-0.1,0.6,38-27,-1.0,8-4,8-5,6-7,15-12,21-11,16-17,5-3,15-12,31-16,6-12,18-17,19-11,6-4,11-9,15-15
9.0,Houston Astros,36,28,0.562,W 3,4.0,3.7,0.4,0.1,0.5,35-29,1.0,6-4,10-7,10-6,10-11,22-12,14-16,3-0,10-7,31-26,5-2,25-21,11-7,7-3,13-7,19-11
10.0,St. Louis Cardinals,36,28,0.562,W 2,4.7,4.2,0.5,0.1,0.6,35-29,1.0,10-9,8-5,5-0,13-14,22-10,14-18,1-4,12-8,24-18,12-10,19-14,17-14,6-4,12-8,21-9
11.0,Toronto Blue Jays,35,29,0.547,W 4,4.3,4.2,0.0,0.0,0.0,32-32,3.0,10-12,4-4,11-8,10-5,22-13,13-16,4-2,9-8,27-23,8-6,15-20,20-9,9-1,14-6,19-11
12.0,Milwaukee Brewers,35,30,0.538,W 1,4.5,4.1,0.4,0.0,0.4,35-30,0.0,3-0,9-8,5-7,18-15,19-11,16-19,3-2,10-8,22-22,13-8,16-20,19-10,8-2,14-6,18-12
13.0,Minnesota Twins,34,30,0.531,L 3,4.2,3.7,0.5,-0.1,0.4,36-28,-2.0,9-5,10-12,8-5,7-8,18-10,16-20,3-4,7-10,29-26,5-4,16-23,18-7,4-6,10-10,20-10
14.0,Tampa Bay Rays,34,30,0.531,L 1,4.4,3.7,0.7,0.0,0.7,37-27,-3.0,9-7,2-4,8-8,15-11,22-20,12-10,3-2,11-11,25-20,9-10,19-16,15-14,7-3,14-6,18-12
15.0,Cleveland Guardians,33,30,0.524,L 3,3.9,4.2,-0.3,0.1,-0.2,29-34,4.0,7-8,14-5,3-5,9-12,17-13,16-17,4-1,8-5,30-19,3-11,20-19,13-11,4-6,8-12,14-16
16.0,Seattle Mariners,32,31,0.508,L 5,4.4,4.4,0.0,-0.2,-0.2,31-32,1.0,5-10,5-4,14-10,8-7,16-17,16-14,4-5,12-10,22-23,10-8,12-16,20-15,2-8,8-12,12-18
17.0,Kansas City Royals,33,32,0.508,L 2,3.4,3.5,-0.2,0.1,0.0,31-34,2.0,8-7,12-14,3-3,10-8,19-13,14-19,4-3,12-9,26-28,7-4,20-24,13-8,4-6,8-12,14-16
18.0,Cincinnati Reds,32,33,0.492,W 2,4.6,4.0,0.6,-0.1,0.5,36-29,-4.0,3-7,10-13,8-3,11-10,17-16,15-17,1-5,6-10,24-20,8-13,16-19,16-14,5-5,11-9,14-16
19.0,Arizona Diamondbacks,31,33,0.484,L 2,5.0,5.3,-0.3,0.2,0.0,31-33,0.0,13-11,6-12,7-6,5-4,15-17,16-16,2-5,10-12,22-23,9-10,17-21,14-12,4-6,8-12,13-17
20.0,Los Angeles Angels,30,33,0.476,W 2,4.3,5.1,-0.9,0.0,-0.8,26-37,4.0,7-8,6-10,7-7,10-8,12-15,18-18,3-0,11-4,27-27,3-6,19-22,11-11,5-5,12-8,17-13
21.0,Boston Red Sox,31,35,0.47,W 1,4.8,4.6,0.2,0.0,0.2,34-32,-3.0,9-10,9-10,5-8,8-7,17-16,14-19,4-7,6-17,25-26,6-9,16-20,15-15,4-6,9-11,13-17
22.0,Washington Nationals,30,34,0.469,L 1,4.3,5.0,-0.8,-0.1,-0.9,27-37,3.0,8-11,4-9,9-6,9-8,15-17,15-17,2-1,11-7,22-25,8-9,11-20,19-14,6-4,12-8,15-15
23.0,Texas Rangers,30,35,0.462,W 1,3.3,3.3,0.0,0.0,0.0,33-32,-3.0,8-11,3-3,8-12,11-9,20-13,10-22,0-0,9-13,24-25,6-10,14-23,16-12,4-6,6-14,13-17
24.0,Atlanta Braves,27,36,0.429,L 6,4.1,4.0,0.1,0.0,0.0,32-31,-5.0,7-7,6-4,6-18,8-7,17-14,10-22,5-2,9-18,21-29,6-7,12-21,15-15,2-8,6-14,12-18
25.0,Baltimore Orioles,26,37,0.413,W 1,3.9,5.2,-1.3,0.0,-1.3,23-40,3.0,8-8,7-14,6-2,5-13,12-17,14-20,1-2,9-8,22-25,4-12,14-22,12-15,7-3,11-9,13-17
