team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,51,38,.573,-,11,-,9-1
New York Yankees,Unknown,48,41,.539,3.0,93,+1.0,3-7
Tampa Bay Rays,Unknown,48,41,.539,3.0,67,+1.0,4-6
Boston Red Sox,Unknown,45,45,.500,6.5,31,2.5,5-5
Baltimore Orioles,Unknown,39,49,.443,11.5,-83,7.5,5-5
Detroit Tigers,Unknown,56,34,.622,-,101,-,6-4
Minnesota Twins,Unknown,43,46,.483,12.5,-16,4.0,6-4
Kansas City Royals,Unknown,42,48,.467,14.0,-34,5.5,4-6
Cleveland Guardians,Unknown,40,47,.460,14.5,-54,6.0,1-9
Chicago White Sox,Unknown,30,59,.337,25.5,-82,17.0,5-5
Houston Astros,Unknown,54,35,.607,-,67,-,8-2
Seattle Mariners,Unknown,47,42,.528,7.0,21,-,6-4
Texas Rangers,Unknown,44,45,.494,10.0,28,3.0,6-4
Los Angeles Angels,Unknown,43,45,.489,10.5,-48,3.5,5-5
Athletics,Unknown,37,54,.407,18.0,-136,11.0,5-5
Philadelphia Phillies,Unknown,52,37,.584,-,53,-,5-5
New York Mets,Unknown,52,38,.578,0.5,46,+4.0,6-4
Miami Marlins,Unknown,40,47,.460,11.0,-69,6.5,8-2
Atlanta Braves,Unknown,39,49,.443,12.5,5,8.0,2-8
Washington Nationals,Unknown,37,52,.416,15.0,-84,10.5,4-6
Chicago Cubs,Unknown,53,36,.596,-,115,-,7-3
Milwaukee Brewers,Unknown,49,40,.551,4.0,55,+1.5,6-4
St. Louis Cardinals,Unknown,48,42,.533,5.5,26,-,4-6
Cincinnati Reds,Unknown,46,43,.517,7.0,34,1.5,5-5
Pittsburgh Pirates,Unknown,38,52,.422,15.5,-36,10.0,6-4
Los Angeles Dodgers,Unknown,56,34,.622,-,81,-,7-3
San Diego Padres,Unknown,47,41,.534,8.0,9,-,5-5
San Francisco Giants,Unknown,48,42,.533,8.0,26,-,4-6
Arizona Diamondbacks,Unknown,44,45,.494,11.5,4,3.5,3-7
Colorado Rockies,Unknown,20,69,.225,35.5,-231,27.5,2-8
