Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,44,24,0.647,W 2,4.9,3.5,1.4,-0.1,1.3,44-24,0.0,11-2,13-8,7-6,13-8,23-9,21-15,2-4,12-7,31-20,13-4,25-19,19-5,6-4,13-7,19-11
2.0,New York Mets,43,24,0.642,W 4,4.6,3.3,1.3,-0.2,1.1,44-23,-1.0,10-4,9-4,13-6,11-10,25-7,18-17,4-3,14-10,33-17,10-7,20-12,23-12,8-2,14-6,20-10
3.0,New York Yankees,40,25,0.615,W 1,5.5,3.9,1.6,-0.1,1.5,42-23,-2.0,8-8,8-5,10-2,14-10,21-12,19-13,1-3,11-11,31-19,9-6,25-16,15-9,5-5,14-6,21-9
4.0,Chicago Cubs,41,26,0.612,W 1,5.6,4.0,1.6,-0.1,1.5,44-23,-3.0,9-8,8-4,15-11,9-3,20-11,21-15,3-4,9-5,31-17,10-9,18-18,23-8,6-4,13-7,19-11
5.0,Los Angeles Dodgers,40,28,0.588,L 1,5.5,4.6,1.0,0.0,1.0,40-28,0.0,15-10,6-7,8-4,11-7,23-11,17-17,6-3,11-9,31-17,9-11,16-15,24-13,4-6,11-9,15-15
6.0,San Francisco Giants,39,28,0.582,W 6,4.1,3.4,0.7,-0.1,0.6,39-28,0.0,9-4,8-5,7-7,15-12,22-11,17-17,5-3,17-12,32-16,7-12,21-20,18-8,7-3,11-9,16-14
7.0,San Diego Padres,38,28,0.576,W 1,4.2,3.8,0.4,-0.1,0.3,36-30,2.0,8-2,10-5,10-4,10-17,21-11,17-17,3-4,14-9,27-18,11-10,16-22,22-6,6-4,11-9,15-15
8.0,Philadelphia Phillies,38,29,0.567,L 1,4.6,4.4,0.2,-0.2,0.0,35-32,3.0,9-9,8-12,13-4,8-4,20-13,18-16,5-4,12-8,29-17,9-12,15-18,23-11,2-8,9-11,16-14
9.0,Toronto Blue Jays,37,30,0.552,W 2,4.3,4.3,0.0,0.0,0.0,34-33,3.0,10-12,4-5,11-8,12-5,22-13,15-17,5-2,11-8,29-24,8-6,17-21,20-9,8-2,14-6,20-10
10.0,Houston Astros,36,30,0.545,L 2,4.0,3.7,0.3,0.1,0.4,36-30,0.0,6-4,10-9,10-6,10-11,22-13,14-17,3-0,10-7,31-28,5-2,27-23,9-7,6-4,12-8,18-12
