team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,72,51,.585,-,47,-,7-3
Boston Red Sox,Unknown,67,56,.545,5.0,94,+1.5,5-5
New York Yankees,Unknown,65,57,.533,6.5,91,-,5-5
Tampa Bay Rays,Unknown,60,63,.488,12.0,44,5.5,5-5
Baltimore Orioles,Unknown,56,66,.459,15.5,-79,9.0,5-5
Detroit Tigers,Unknown,72,52,.581,-,84,-,6-4
Cleveland Guardians,Unknown,63,58,.521,7.5,-24,1.5,7-3
Kansas City Royals,Unknown,61,61,.500,10.0,-12,4.0,5-5
Minnesota Twins,Unknown,57,65,.467,14.0,-41,8.0,5-5
Chicago White Sox,Unknown,44,78,.361,27.0,-76,21.0,2-8
Houston Astros,Unknown,68,54,.557,-,38,-,6-4
Seattle Mariners,Unknown,68,55,.553,0.5,37,+2.5,8-2
Texas Rangers,Unknown,61,62,.496,7.5,56,4.5,3-7
Los Angeles Angels,Unknown,59,63,.484,9.0,-72,6.0,5-5
Athletics,Unknown,55,69,.444,14.0,-94,11.0,6-4
Philadelphia Phillies,Unknown,70,52,.574,-,83,-,6-4
New York Mets,Unknown,64,58,.525,6.0,30,-,1-9
Miami Marlins,Unknown,58,64,.475,12.0,-58,6.0,3-7
Atlanta Braves,Unknown,54,68,.443,16.0,-18,10.0,7-3
Washington Nationals,Unknown,49,73,.402,21.0,-151,15.0,5-5
Milwaukee Brewers,Unknown,77,44,.636,-,161,-,10-0
Chicago Cubs,Unknown,68,53,.562,9.0,114,+4.5,3-7
Cincinnati Reds,Unknown,64,59,.520,14.0,49,0.5,5-5
St. Louis Cardinals,Unknown,61,62,.496,17.0,-22,3.5,5-5
Pittsburgh Pirates,Unknown,52,71,.423,26.0,-84,12.5,3-7
Los Angeles Dodgers,Unknown,69,53,.566,-,81,+5.0,4-6
San Diego Padres,Unknown,69,53,.566,-,51,+5.0,7-3
Arizona Diamondbacks,Unknown,60,63,.488,9.5,9,4.5,6-4
San Francisco Giants,Unknown,59,63,.484,10.0,-7,5.0,3-7
Colorado Rockies,Unknown,33,89,.270,36.0,-331,31.0,3-7
