team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,78,56,.582,-,60,-,5-5
Boston Red Sox,Unknown,74,60,.552,4.0,107,+2.0,6-4
New York Yankees,Unknown,73,60,.549,4.5,119,+1.5,7-3
Tampa Bay Rays,Unknown,64,69,.481,13.5,38,7.5,4-6
Baltimore Orioles,Unknown,60,73,.451,17.5,-79,11.5,4-6
Detroit Tigers,Unknown,78,57,.578,-,85,-,5-5
Kansas City Royals,Unknown,69,65,.515,8.5,2,3.0,6-4
Cleveland Guardians,Unknown,66,66,.500,10.5,-55,5.0,3-7
Minnesota Twins,Unknown,60,73,.451,17.0,-62,11.5,3-7
Chicago White Sox,Unknown,48,85,.361,29.0,-77,23.5,4-6
Houston Astros,Unknown,73,60,.549,-,18,-,4-6
Seattle Mariners,Unknown,72,62,.537,1.5,25,-,4-6
Texas Rangers,Unknown,68,67,.504,6.0,80,4.5,6-4
Athletics,Unknown,63,72,.467,11.0,-79,9.5,7-3
Los Angeles Angels,Unknown,62,71,.466,11.0,-105,9.5,3-7
Philadelphia Phillies,Unknown,76,57,.571,-,84,-,6-4
New York Mets,Unknown,72,61,.541,4.0,64,-,7-3
Miami Marlins,Unknown,62,71,.466,14.0,-83,10.0,4-6
Atlanta Braves,Unknown,61,72,.459,15.0,-2,11.0,6-4
Washington Nationals,Unknown,53,80,.398,23.0,-171,19.0,3-7
Milwaukee Brewers,Unknown,83,51,.619,-,161,-,4-6
Chicago Cubs,Unknown,76,57,.571,6.5,114,+4.0,6-4
Cincinnati Reds,Unknown,68,66,.507,15.0,34,4.5,4-6
St. Louis Cardinals,Unknown,65,69,.485,18.0,-37,7.5,4-6
Pittsburgh Pirates,Unknown,59,75,.440,24.0,-65,13.5,7-3
Los Angeles Dodgers,Unknown,77,57,.575,-,108,-,6-4
San Diego Padres,Unknown,75,59,.560,2.0,54,+2.5,6-4
San Francisco Giants,Unknown,65,68,.489,11.5,2,7.0,6-4
Arizona Diamondbacks,Unknown,65,69,.485,12.0,8,7.5,5-5
Colorado Rockies,Unknown,38,95,.286,38.5,-348,34.0,4-6
