team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,53,38,.582,-,16,-,9-1
New York Yankees,Unknown,49,41,.544,3.5,95,+1.0,3-7
Tampa Bay Rays,Unknown,49,42,.538,4.0,65,+0.5,3-7
Boston Red Sox,Unknown,47,45,.511,6.5,39,2.0,7-3
Baltimore Orioles,Unknown,40,49,.449,12.0,-82,7.5,6-4
Detroit Tigers,Unknown,58,34,.630,-,110,-,7-3
Kansas City Royals,Unknown,44,48,.478,14.0,-24,5.0,6-4
Minnesota Twins,Unknown,43,47,.478,14.0,-18,5.0,5-5
Cleveland Guardians,Unknown,41,48,.461,15.5,-57,6.5,1-9
Chicago White Sox,Unknown,30,61,.330,27.5,-88,18.5,4-6
Houston Astros,Unknown,55,36,.604,-,69,-,7-3
Seattle Mariners,Unknown,48,42,.533,6.5,22,-,7-3
Los Angeles Angels,Unknown,44,46,.489,10.5,-48,4.0,4-6
Texas Rangers,Unknown,44,47,.484,11.0,24,4.5,4-6
Athletics,Unknown,37,55,.402,18.5,-140,12.0,4-6
Philadelphia Phillies,Unknown,53,38,.582,-,53,-,6-4
New York Mets,Unknown,52,39,.571,1.0,44,+2.5,5-5
Miami Marlins,Unknown,41,48,.461,11.0,-67,7.5,7-3
Atlanta Braves,Unknown,39,50,.438,13.0,4,9.5,2-8
Washington Nationals,Unknown,37,53,.411,15.5,-86,12.0,4-6
Chicago Cubs,Unknown,54,36,.600,-,126,-,7-3
Milwaukee Brewers,Unknown,51,40,.560,3.5,65,+1.5,6-4
St. Louis Cardinals,Unknown,48,43,.527,6.5,15,1.5,4-6
Cincinnati Reds,Unknown,46,45,.505,8.5,28,3.5,4-6
Pittsburgh Pirates,Unknown,38,54,.413,17.0,-43,12.0,6-4
Los Angeles Dodgers,Unknown,56,36,.609,-,69,-,5-5
San Francisco Giants,Unknown,50,42,.543,6.0,32,-,5-5
San Diego Padres,Unknown,48,42,.533,7.0,9,1.0,4-6
Arizona Diamondbacks,Unknown,45,46,.495,10.5,3,4.5,4-6
Colorado Rockies,Unknown,21,70,.231,34.5,-235,28.5,3-7
