team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,68,49,.581,-,51,-,5-5
Boston Red Sox,Unknown,65,52,.556,3.0,89,+3.5,8-2
New York Yankees,Unknown,61,55,.526,6.5,86,-,4-6
Tampa Bay Rays,Unknown,57,60,.487,11.0,46,4.5,3-7
Baltimore Orioles,Unknown,53,63,.457,14.5,-79,8.0,5-5
Detroit Tigers,Unknown,67,50,.573,-,76,-,6-4
Cleveland Guardians,Unknown,60,55,.522,6.0,-19,0.5,8-2
Kansas City Royals,Unknown,57,59,.491,9.5,-19,4.0,5-5
Minnesota Twins,Unknown,55,60,.478,11.0,-24,5.5,5-5
Chicago White Sox,Unknown,42,74,.362,24.5,-75,19.0,4-6
Houston Astros,Unknown,65,51,.560,-,49,-,5-5
Seattle Mariners,Unknown,64,53,.547,1.5,31,+2.5,7-3
Texas Rangers,Unknown,60,57,.513,5.5,62,1.5,4-6
Los Angeles Angels,Unknown,55,61,.474,10.0,-69,6.0,4-6
Athletics,Unknown,51,67,.432,15.0,-107,11.0,5-5
Philadelphia Phillies,Unknown,66,49,.574,-,87,-,6-4
New York Mets,Unknown,63,53,.543,3.5,34,-,1-9
Miami Marlins,Unknown,57,58,.496,9.0,-46,5.5,7-3
Atlanta Braves,Unknown,48,67,.417,18.0,-32,14.5,3-7
Washington Nationals,Unknown,45,70,.391,21.0,-153,17.5,2-8
Milwaukee Brewers,Unknown,71,44,.617,-,128,-,9-1
Chicago Cubs,Unknown,66,49,.574,5.0,110,+3.5,4-6
Cincinnati Reds,Unknown,60,57,.513,12.0,34,3.5,4-6
St. Louis Cardinals,Unknown,59,58,.504,13.0,-11,4.5,5-5
Pittsburgh Pirates,Unknown,51,66,.436,21.0,-51,12.5,6-4
Los Angeles Dodgers,Unknown,67,49,.578,-,78,-,6-4
San Diego Padres,Unknown,64,52,.552,3.0,30,+1.0,7-3
San Francisco Giants,Unknown,59,57,.509,8.0,21,4.0,5-5
Arizona Diamondbacks,Unknown,55,61,.474,12.0,-6,8.0,4-6
Colorado Rockies,Unknown,30,85,.261,36.5,-321,32.5,3-7
