team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,73,51,.589,-,59,-,7-3
Boston Red Sox,Unknown,68,56,.548,5.0,96,+1.5,5-5
New York Yankees,Unknown,66,57,.537,6.5,95,-,6-4
Tampa Bay Rays,Unknown,61,63,.492,12.0,45,5.5,6-4
Baltimore Orioles,Unknown,56,67,.455,16.5,-80,10.0,5-5
Detroit Tigers,Unknown,73,52,.584,-,87,-,7-3
Cleveland Guardians,Unknown,63,59,.516,8.5,-33,2.5,6-4
Kansas City Royals,Unknown,62,61,.504,10.0,-8,4.0,6-4
Minnesota Twins,Unknown,57,66,.463,15.0,-44,9.0,4-6
Chicago White Sox,Unknown,44,79,.358,28.0,-80,22.0,2-8
Houston Astros,Unknown,69,54,.561,-,39,-,6-4
Seattle Mariners,Unknown,68,56,.548,1.5,35,+1.5,7-3
Texas Rangers,Unknown,61,63,.492,8.5,44,5.5,2-8
Los Angeles Angels,Unknown,59,64,.480,10.0,-77,7.0,4-6
Athletics,Unknown,56,69,.448,14.0,-89,11.0,6-4
Philadelphia Phillies,Unknown,70,53,.569,-,81,-,5-5
New York Mets,Unknown,65,58,.528,5.0,32,-,2-8
Miami Marlins,Unknown,58,65,.472,12.0,-60,7.0,2-8
Atlanta Braves,Unknown,55,68,.447,15.0,-9,10.0,8-2
Washington Nationals,Unknown,50,73,.407,20.0,-149,15.0,5-5
Milwaukee Brewers,Unknown,78,44,.639,-,162,-,10-0
Chicago Cubs,Unknown,69,53,.566,9.0,116,+4.5,4-6
Cincinnati Reds,Unknown,64,60,.516,15.0,48,1.5,4-6
St. Louis Cardinals,Unknown,61,63,.492,18.0,-26,4.5,4-6
Pittsburgh Pirates,Unknown,52,72,.419,27.0,-86,13.5,3-7
Los Angeles Dodgers,Unknown,70,53,.569,-,87,-,5-5
San Diego Padres,Unknown,69,54,.561,1.0,45,+4.0,7-3
Arizona Diamondbacks,Unknown,60,64,.484,10.5,6,5.5,6-4
San Francisco Giants,Unknown,59,64,.480,11.0,-8,6.0,3-7
Colorado Rockies,Unknown,34,89,.276,36.0,-328,31.0,4-6
