team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,69,50,.580,-,44,-,6-4
Boston Red Sox,Unknown,65,55,.542,4.5,83,+1.5,6-4
New York Yankees,Unknown,63,56,.529,6.0,85,-,3-7
Tampa Bay Rays,Unknown,58,62,.483,11.5,43,5.5,4-6
Baltimore Orioles,Unknown,53,65,.449,15.5,-88,9.5,3-7
Detroit Tigers,Unknown,69,51,.575,-,78,-,5-5
Cleveland Guardians,Unknown,61,56,.521,6.5,-19,1.0,8-2
Kansas City Royals,Unknown,59,60,.496,9.5,-16,4.0,5-5
Minnesota Twins,Unknown,56,62,.475,12.0,-28,6.5,5-5
Chicago White Sox,Unknown,43,76,.361,25.5,-76,20.0,3-7
Houston Astros,Unknown,67,52,.563,-,55,-,5-5
Seattle Mariners,Unknown,66,53,.555,1.0,37,+3.0,9-1
Texas Rangers,Unknown,61,59,.508,6.5,60,2.5,4-6
Los Angeles Angels,Unknown,57,62,.479,10.0,-67,6.0,4-6
Athletics,Unknown,53,68,.438,15.0,-101,11.0,5-5
Philadelphia Phillies,Unknown,69,49,.585,-,93,-,8-2
New York Mets,Unknown,63,55,.534,6.0,30,-,1-9
Miami Marlins,Unknown,57,61,.483,12.0,-60,6.0,4-6
Atlanta Braves,Unknown,51,67,.432,18.0,-18,12.0,5-5
Washington Nationals,Unknown,47,71,.398,22.0,-146,16.0,3-7
Milwaukee Brewers,Unknown,74,44,.627,-,138,-,10-0
Chicago Cubs,Unknown,67,50,.573,6.5,117,+4.5,5-5
Cincinnati Reds,Unknown,62,58,.517,13.0,38,2.0,5-5
St. Louis Cardinals,Unknown,61,59,.508,14.0,-17,3.0,6-4
Pittsburgh Pirates,Unknown,51,69,.425,24.0,-64,13.0,4-6
Los Angeles Dodgers,Unknown,68,51,.571,-,82,-,5-5
San Diego Padres,Unknown,67,52,.563,1.0,38,+3.5,7-3
San Francisco Giants,Unknown,59,60,.496,9.0,8,4.5,5-5
Arizona Diamondbacks,Unknown,57,62,.479,11.0,1,6.5,6-4
Colorado Rockies,Unknown,30,88,.254,37.5,-330,33.0,2-8
