fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
SF,TB,-1.5,1.5,0.359,0.656,+179,-191,0,2025-08-16T21:05:00-04:00,SF -1.5,2025-08-16T16:45:36.845+00:00
KAN,CWS,-1.5,1.5,0.41,0.612,+144,-158,1,2025-08-16T19:10:00-04:00,KAN -1.5,2025-08-16T16:42:49.171+00:00
NYY,STL,-1.5,1.5,0.44,0.583,+127,-140,0,2025-08-16T19:15:00-04:00,STL +1.5,2025-08-16T16:45:13.722+00:00
ARI,COL,-1.5,1.5,0.512,0.5,-105,+100,0,2025-08-16T20:10:00-04:00,COL +1.5,2025-08-16T16:38:41.553+00:00
DET,MIN,-1.5,1.5,0.38,0.634,+163,-173,0,2025-08-16T19:15:00-04:00,MIN +1.5,2025-08-16T16:42:17.9+00:00
LAD,SD,-1.5,1.5,0.368,0.653,+172,-188,0,2025-08-16T21:10:00-04:00,LAD -1.5,2025-08-16T16:40:07.431+00:00
OAK,LAA,-1.5,1.5,0.386,0.631,+159,-171,1,2025-08-16T22:05:00-04:00,OAK -1.5,2025-08-16T16:45:48.17+00:00
CHC,PIT,-1.5,1.5,0.499,0.508,+100,-103,0,2025-08-16T14:20:00-04:00,CHC -1.5,2025-08-16T16:46:54.266+00:00
CLE,ATL,-1.5,1.5,0.345,0.672,+190,-205,1,2025-08-16T19:10:00-04:00,CLE -1.5,2025-08-16T15:55:26.771+00:00
MIL,CIN,-1.5,1.5,0.415,0.6,+141,-150,0,2025-08-16T18:40:00-04:00,CIN +1.5,2025-08-16T16:41:44.925+00:00
HOU,BAL,-1.5,1.5,0.403,0.614,+148,-159,1,2025-08-16T19:10:00-04:00,HOU -1.5,2025-08-16T16:45:17.037+00:00
TOR,TEX,-1.5,1.5,0.431,0.587,+132,-142,1,2025-08-16T15:07:00-04:00,TOR -1.5,2025-08-16T16:46:43.265+00:00
BOS,MIA,-1.5,1.5,0.459,0.554,+118,-124,1,2025-08-16T16:10:00-04:00,BOS -1.5,2025-08-16T16:45:44.755+00:00
PHI,WAS,-1.5,1.5,0.45,0.564,+122,-129,0,2025-08-16T16:05:00-04:00,WAS +1.5,2025-08-16T16:45:22.449+00:00
SEA,NYM,-1.5,1.5,0.396,0.614,+153,-159,0,2025-08-16T16:10:00-04:00,NYM +1.5,2025-08-16T16:45:52.737+00:00
