fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DET,CWS,-0.5,0.5,0.503,0.558,-101,-126,0,2025-08-11T19:40:00-04:00,CWS +0.5 1H,2025-08-11T15:03:04.618+00:00
DET,CWS,-1.5,1.5,0.457,0.558,+119,-126,0,2025-08-11T19:40:00-04:00,CWS +1.5,2025-08-11T16:44:07.701+00:00
BOS,HOU,-1.5,1.5,0.488,0.528,+105,-112,0,2025-08-11T20:10:00-04:00,HOU +1.5,2025-08-11T16:42:32.885+00:00
BOS,HOU,-0.5,0.5,0.575,0.484,-135,+107,0,2025-08-11T20:10:00-04:00,HOU +0.5 1H,2025-08-11T16:48:56.992+00:00
SF,SD,-1.5,1.5,0.379,0.644,+164,-181,0,2025-08-11T21:45:00-04:00,SF -1.5,2025-08-11T16:45:15.896+00:00
SF,SD,-0.5,0.5,0.512,0.549,-105,-122,0,2025-08-11T21:45:00-04:00,SF -0.5 1H,2025-08-11T16:03:11.707+00:00
LAD,LAA,-0.5,0.5,0.539,0.522,-117,-109,0,2025-08-11T21:38:00-04:00,LAA +0.5 1H,2025-08-11T13:16:06.612+00:00
LAD,LAA,-1.5,1.5,0.515,0.495,-106,+102,0,2025-08-11T21:38:00-04:00,LAA +1.5,2025-08-11T16:53:36.626+00:00
KAN,WAS,-0.5,0.5,0.469,0.592,+113,-145,1,2025-08-11T19:40:00-04:00,KAN -0.5 1H,2025-08-11T16:53:15.12+00:00
KAN,WAS,-1.5,1.5,0.403,0.608,+148,-155,1,2025-08-11T19:40:00-04:00,KAN -1.5,2025-08-11T16:51:46.396+00:00
MIL,PIT,-0.5,0.5,0.558,0.5,-126,+100,1,2025-08-11T19:40:00-04:00,MIL -0.5 1H,2025-08-11T16:53:47.568+00:00
MIL,PIT,-1.5,1.5,0.486,0.523,+106,-110,1,2025-08-11T19:40:00-04:00,MIL -1.5,2025-08-11T16:53:15.12+00:00
OAK,TB,-0.5,0.5,0.492,0.569,+103,-132,1,2025-08-11T22:05:00-04:00,OAK -0.5 1H,2025-08-11T15:31:07.197+00:00
OAK,TB,-1.5,1.5,0.36,0.662,+178,-196,1,2025-08-11T22:05:00-04:00,OAK -1.5,2025-08-11T16:43:01.681+00:00
NYY,MIN,-0.5,0.5,0.502,0.559,-101,-127,0,2025-08-11T19:05:00-04:00,NYY -0.5 1H,2025-08-11T14:45:05.573+00:00
NYY,MIN,-1.5,1.5,0.457,0.568,+119,-131,0,2025-08-11T19:05:00-04:00,NYY -1.5,2025-08-11T16:54:06.202+00:00
CIN,PHI,-0.5,0.5,0.499,0.56,+100,-127,1,2025-08-11T18:10:00-04:00,CIN -0.5 1H,2025-08-11T16:45:00.832+00:00
CIN,PHI,-1.5,1.5,0.364,0.643,+175,-180,1,2025-08-11T18:10:00-04:00,CIN -1.5,2025-08-11T16:49:46.237+00:00
TEX,ARI,-0.5,0.5,0.535,0.526,-115,-111,1,2025-08-11T20:05:00-04:00,TEX -0.5 1H,2025-08-11T16:46:11.415+00:00
TEX,ARI,-1.5,1.5,0.405,0.603,+147,-152,1,2025-08-11T20:05:00-04:00,TEX -1.5,2025-08-11T16:54:08.649+00:00
STL,COL,-0.5,0.5,0.587,0.474,-142,+111,0,2025-08-11T19:45:00-04:00,STL -0.5 1H,2025-08-11T16:15:36.745+00:00
STL,COL,-1.5,1.5,0.507,0.505,-103,-102,0,2025-08-11T19:45:00-04:00,STL -1.5,2025-08-11T16:52:51.115+00:00
