fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
LAA,MIN,-1.5,1.5,0.389,0.637,+157,-175,0,2025-09-10T16:07:00-04:00,LAA -1.5,2025-09-10T16:43:09.056+00:00
NYY,DET,-1.5,1.5,0.431,0.594,+132,-146,0,2025-09-10T19:05:00-04:00,NYY -1.5,2025-09-10T16:14:14.016+00:00
SD,CIN,-1.5,1.5,0.389,0.629,+157,-170,0,2025-09-10T20:40:00-04:00,SD -1.5,2025-09-10T16:37:49.172+00:00
SEA,STL,-1.5,1.5,0.495,0.524,+102,-110,1,2025-09-10T21:40:00-04:00,SEA -1.5,2025-09-10T16:21:21.03+00:00
PHI,NYM,-1.5,1.5,0.413,0.599,+142,-149,1,2025-09-10T18:45:00-04:00,PHI -1.5,2025-09-10T16:37:08.565+00:00
SF,ARI,-1.5,1.5,0.347,0.655,+188,-190,0,2025-09-10T15:45:00-04:00,SF -1.5,2025-09-10T16:41:15.459+00:00
LAD,COL,-1.5,1.5,0.587,0.435,-142,+130,0,2025-09-10T22:10:00-04:00,LAD -1.5,2025-09-10T16:33:25.679+00:00
MIA,WAS,-1.5,1.5,0.41,0.606,+144,-154,1,2025-09-10T18:40:00-04:00,MIA -1.5,2025-09-10T16:33:03.723+00:00
MIL,TEX,-1.5,1.5,0.396,0.618,+153,-162,0,2025-09-10T14:35:00-04:00,TEX +1.5,2025-09-10T16:45:36.555+00:00
PIT,BAL,-1.5,1.5,0.444,0.574,+125,-135,0,2025-09-10T18:35:00-04:00,BAL +1.5,2025-09-10T16:45:10.401+00:00
CLE,KAN,-1.5,1.5,0.341,0.685,+193,-217,1,2025-09-10T18:40:00-04:00,CLE -1.5,2025-09-10T16:35:09.978+00:00
TB,CWS,-1.5,1.5,0.444,0.582,+125,-139,0,2025-09-10T19:40:00-04:00,CWS +1.5,2025-09-10T16:21:00.522+00:00
BOS,OAK,-1.5,1.5,0.441,0.571,+127,-133,0,2025-09-10T15:35:00-04:00,OAK +1.5,2025-09-10T16:46:28.244+00:00
TOR,HOU,-1.5,1.5,0.4,0.62,+150,-163,1,2025-09-10T19:07:00-04:00,TOR -1.5,2025-09-10T16:44:48.203+00:00
ATL,CHC,-1.5,1.5,0.426,0.578,+135,-137,1,2025-09-10T19:15:00-04:00,ATL -1.5,2025-09-10T16:46:28.244+00:00
