fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
MIL,COL,-1.5,1.5,0.533,0.491,-114,+104,1,2025-06-29T14:10:00-04:00,MIL -1.5,2025-06-29T16:47:53.456+00:00
SEA,TEX,-1.5,1.5,0.415,0.616,+141,-160,0,2025-06-29T14:35:00-04:00,TEX +1.5,2025-06-29T16:47:48.759+00:00
DET,MIN,-1.5,1.5,0.574,0.444,-135,+125,1,2025-06-29T19:10:00-04:00,DET -1.5,2025-06-29T16:46:45.249+00:00
NYY,OAK,-1.5,1.5,0.512,0.502,-105,-101,0,2025-06-29T13:35:00-04:00,NYY -1.5,2025-06-29T16:48:04.388+00:00
TOR,BOS,-1.5,1.5,0.412,0.607,+143,-154,0,2025-06-29T13:35:00-04:00,BOS +1.5,2025-06-29T16:47:27.745+00:00
NYM,PIT,-1.5,1.5,0.465,0.554,+115,-124,0,2025-06-29T13:35:00-04:00,PIT +1.5,2025-06-29T16:46:32.632+00:00
LAD,KAN,-1.5,1.5,0.444,0.578,+125,-137,0,2025-06-29T14:10:00-04:00,KAN +1.5,2025-06-29T16:41:54.422+00:00
LAA,WAS,-1.5,1.5,0.4,0.624,+150,-166,0,2025-06-29T16:07:00-04:00,LAA -1.5,2025-06-29T16:47:05.009+00:00
HOU,CHC,-1.5,1.5,0.375,0.652,+167,-187,1,2025-06-29T14:10:00-04:00,HOU -1.5,2025-06-29T16:47:41.311+00:00
ARI,MIA,-1.5,1.5,0.477,0.541,+110,-118,1,2025-06-29T16:10:00-04:00,ARI -1.5,2025-06-29T16:47:43.755+00:00
CIN,SD,-1.5,1.5,0.397,0.631,+152,-171,1,2025-06-29T13:40:00-04:00,CIN -1.5,2025-06-29T16:27:46.201+00:00
BAL,TB,-1.5,1.5,0.365,0.646,+174,-182,1,2025-06-29T13:35:00-04:00,BAL -1.5,2025-06-29T16:46:11.126+00:00
ATL,PHI,-1.5,1.5,0.408,0.606,+145,-154,1,2025-06-29T13:35:00-04:00,ATL -1.5,2025-06-29T16:43:15.15+00:00
SF,CWS,-1.5,1.5,0.465,0.552,+115,-123,0,2025-06-29T14:10:00-04:00,CWS +1.5,2025-06-29T16:47:45.762+00:00
