fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
NYY,SEA,-1.5,1.5,0.426,0.6,+135,-150,0,2025-07-09T19:05:00-04:00,NYY -1.5,2025-07-09T16:47:32.767+00:00
TOR,CWS,-1.5,1.5,0.444,0.578,+125,-137,0,2025-07-09T14:10:00-04:00,CWS +1.5,2025-07-09T16:51:11.96+00:00
TEX,LAA,-1.5,1.5,0.415,0.609,+141,-156,0,2025-07-09T21:38:00-04:00,LAA +1.5,2025-07-09T16:23:28.486+00:00
HOU,CLE,-1.5,1.5,0.408,0.608,+145,-155,1,2025-07-09T20:10:00-04:00,HOU -1.5,2025-07-09T16:40:43.89+00:00
LAD,MIL,-1.5,1.5,0.464,0.552,+116,-123,0,2025-07-09T14:10:00-04:00,MIL +1.5,2025-07-09T16:50:11.878+00:00
PHI,SF,-1.5,1.5,0.434,0.592,+130,-145,0,2025-07-09T15:45:00-04:00,SF +1.5,2025-07-09T16:50:49.458+00:00
NYM,BAL,-1.5,1.5,0.49,0.539,+104,-117,0,2025-07-09T19:05:00-04:00,BAL +1.5,2025-07-09T16:48:57.264+00:00
CIN,MIA,-1.5,1.5,0.398,0.631,+151,-171,1,2025-07-09T19:10:00-04:00,CIN -1.5,2025-07-09T16:51:26.389+00:00
BOS,COL,-1.5,1.5,0.585,0.429,-141,+133,1,2025-07-09T19:10:00-04:00,BOS -1.5,2025-07-09T16:50:44.284+00:00
KAN,PIT,-1.5,1.5,0.459,0.556,+118,-125,1,2025-07-09T19:40:00-04:00,KAN -1.5,2025-07-09T16:51:40.62+00:00
CHC,MIN,-1.5,1.5,0.394,0.629,+154,-170,0,2025-07-09T19:40:00-04:00,MIN +1.5,2025-07-09T16:47:21.241+00:00
STL,WAS,-1.5,1.5,0.377,0.654,+165,-189,0,2025-07-09T19:45:00-04:00,STL -1.5,2025-07-09T15:56:02.823+00:00
SD,ARI,-1.5,1.5,0.382,0.635,+162,-174,0,2025-07-09T21:40:00-04:00,SD -1.5,2025-07-09T16:42:21.747+00:00
ATL,OAK,-1.5,1.5,0.415,0.609,+141,-156,0,2025-07-09T22:05:00-04:00,OAK +1.5,2025-07-09T16:51:35.403+00:00
DET,TB,-1.5,1.5,0.395,0.633,+153,-172,1,2025-07-09T17:10:00-04:00,DET -1.5,2025-07-09T16:51:18.113+00:00
