fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
MIN,MIA,-1.5,1.5,0.413,0.614,+142,-159,0,2025-07-02T18:40:00-04:00,MIA +1.5,2025-07-02T16:27:40.875+00:00
NYM,MIL,-1.5,1.5,0.368,0.65,+172,-186,0,2025-07-02T13:10:00-04:00,NYM -1.5,2025-07-02T16:49:50.473+00:00
ATL,LAA,-1.5,1.5,0.386,0.632,+159,-172,1,2025-07-02T19:15:00-04:00,ATL -1.5,2025-07-02T16:43:26.968+00:00
DET,WAS,-1.5,1.5,0.395,0.63,+153,-170,0,2025-07-02T18:45:00-04:00,WAS +1.5,2025-07-02T16:23:19.147+00:00
BOS,CIN,-1.5,1.5,0.385,0.632,+160,-172,1,2025-07-02T19:10:00-04:00,BOS -1.5,2025-07-02T16:43:26.968+00:00
NYY,TOR,-1.5,1.5,0.439,0.593,+128,-146,0,2025-07-02T19:07:00-04:00,TOR +1.5,2025-07-02T16:45:14.269+00:00
SD,PHI,-1.5,1.5,0.415,0.611,+141,-157,0,2025-07-02T13:05:00-04:00,PHI +1.5,2025-07-02T16:51:09.747+00:00
CHC,CLE,-1.5,1.5,0.427,0.593,+134,-146,0,2025-07-02T20:05:00-04:00,CHC -1.5,2025-07-02T16:43:59.199+00:00
TEX,BAL,-1.5,1.5,0.4,0.63,+150,-170,1,2025-07-02T20:05:00-04:00,TEX -1.5,2025-07-02T15:53:46.111+00:00
SEA,KAN,-1.5,1.5,0.429,0.578,+133,-137,1,2025-07-02T21:40:00-04:00,SEA -1.5,2025-07-02T16:32:01.544+00:00
HOU,COL,-1.5,1.5,0.623,0.388,-165,+158,0,2025-07-02T20:40:00-04:00,COL +1.5,2025-07-02T16:50:54.684+00:00
LAD,CWS,-1.5,1.5,0.599,0.426,-149,+135,0,2025-07-02T22:10:00-04:00,LAD -1.5,2025-07-02T16:47:18.011+00:00
ARI,SF,-1.5,1.5,0.402,0.628,+149,-169,1,2025-07-02T21:40:00-04:00,ARI -1.5,2025-07-02T16:22:43.56+00:00
