game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
717784,2023-06-14,547179,689266,Michael Lorenzen,Dylan Dodd,116,144,DET,ATL,2023,2023,0,0,regular,regular,10,4,10,4,5,1,4,3,5,1,3.84,6.72,0,0,0,0,58.6,20.1,48,31,25,15,7,5,13,5,1.04,1.79,44,10,6.76,4.48,,
717766,2023-06-14,434378,543037,Justin Verlander,Gerrit Cole,121,147,NYM,NYY,2023,2023,0,0,regular,regular,7,14,7,14,3,9,2,11,4,3,4.85,2.88,0,0,0,0,39.0,84.5,39,69,21,27,7,9,13,29,1.33,1.16,33,90,7.62,9.59,,
717771,2023-06-14,641927,607067,Bailey Ober,Colin Rea,142,158,MIN,MIL,2023,2023,0,0,regular,regular,9,10,9,10,4,1,5,5,4,4,2.67,4.46,0,0,0,0,50.5,50.5,37,43,15,25,4,9,13,17,0.99,1.19,47,48,8.38,8.55,,
717770,2023-06-14,681857,675911,Reese Olson,Spencer Strider,116,144,DET,ATL,2023,2023,0,0,regular,regular,1,13,1,13,0,7,0,10,1,2,3.6,3.81,0,0,0,0,5.0,73.2,2,52,2,31,0,9,1,28,0.6,1.09,6,121,10.8,14.88,,
717769,2023-06-14,680694,621244,Kyle Bradish,José Berríos,110,141,BAL,TOR,2023,2023,0,0,regular,regular,11,13,11,13,4,7,5,8,3,5,4.42,3.72,0,0,0,0,50.9,75.0,56,71,25,31,5,8,16,24,1.41,1.27,51,70,9.02,8.4,,
717768,2023-06-14,676477,596295,Garrett Whitlock,Austin Gomber,111,115,BOS,COL,2023,2023,0,0,regular,regular,6,13,6,13,2,4,3,4,2,4,4.89,7.9,0,0,0,0,31.3,58.1,35,79,17,51,6,16,6,27,1.31,1.82,26,39,7.48,6.04,,
717767,2023-06-14,656756,543101,Jordan Montgomery,Anthony DeSclafani,138,137,STL,SF,2023,2023,0,0,regular,regular,13,13,13,13,6,7,3,6,10,6,3.95,3.94,0,0,0,0,70.6,75.4,77,70,31,33,8,7,19,16,1.36,1.14,66,53,8.41,6.33,,
717765,2023-06-14,571760,672282,Andrew Heaney,Reid Detmers,140,108,TEX,LAA,2023,2023,0,0,regular,regular,12,11,12,11,6,1,6,3,4,7,4.24,5.0,0,0,0,0,61.6,54.0,52,62,29,30,10,5,27,23,1.28,1.57,65,68,9.5,11.33,,
717763,2023-06-14,592767,674370,Drew Smyly,Osvaldo Bido,112,134,CHC,PIT,2023,2023,0,0,regular,regular,13,0,13,0,5,0,6,0,6,0,3.39,0.0,0,0,0,0,69.1,0.0,63,0,26,0,8,0,20,0,1.2,0.0,61,0,7.95,0.0,,
717762,2023-06-14,664285,680686,Framber Valdez,Josiah Gray,117,120,HOU,WSH,2023,2023,0,0,regular,regular,13,13,13,13,10,5,6,5,6,7,2.36,3.03,0,0,0,0,84.0,71.3,69,64,22,24,6,8,20,37,1.06,1.42,89,61,9.54,7.7,,
717761,2023-06-14,665622,607192,Luis Medina,Tyler Glasnow,133,139,OAK,TB,2023,2023,0,0,regular,regular,5,3,5,3,2,1,0,2,4,1,8.22,2.96,0,0,0,0,24.1,15.2,27,10,22,5,7,2,11,7,1.58,1.12,21,20,7.84,11.84,,
717760,2023-06-14,477132,605182,Clayton Kershaw,Mike Clevinger,119,145,LAD,CWS,2023,2023,0,0,regular,regular,13,11,13,11,8,3,9,5,3,5,2.98,4.24,0,0,0,0,75.4,57.3,64,56,25,27,10,9,19,24,1.1,1.4,93,48,11.1,7.54,,
717759,2023-06-14,622491,691587,Luis Castillo,Eury Pérez,136,146,SEA,MIA,2023,2023,0,0,regular,regular,13,6,13,6,7,0,6,3,7,3,2.72,2.23,0,0,0,0,76.2,28.3,59,22,23,7,8,4,17,13,1.0,1.24,92,30,10.87,9.54,,
717758,2023-06-14,608379,650644,Michael Wacha,Aaron Civale,135,114,SD,CLE,2023,2023,0,0,regular,regular,12,4,12,4,7,1,7,2,4,2,3.21,2.41,0,0,0,0,67.3,22.4,54,19,24,6,6,1,20,6,1.1,1.12,64,15,8.56,6.03,,
717757,2023-06-14,518876,624133,Merrill Kelly,Ranger Suarez,109,143,AZ,PHI,2023,2023,0,0,regular,regular,13,6,13,6,8,3,8,3,4,1,2.98,4.77,0,0,0,0,75.6,30.2,55,34,25,16,8,2,30,10,1.12,1.46,82,28,9.76,8.34,,
717764,2023-06-14,663738,594902,Daniel Lynch IV,Ben Lively,118,113,KC,CIN,2023,2023,0,0,regular,regular,3,5,3,5,1,1,1,2,2,3,4.47,4.86,0,0,0,0,16.1,29.6,19,27,8,16,1,8,5,9,1.49,1.22,17,35,9.5,10.64,,
