game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
777847,2025-05-20,2.0,2.0,1,2,0,0,0,2,0,1,0,0,0.0,0.0,0.5,2.0,0.0,4.5,0.0,0.5,0.0,0.0,0.0,9.0
777850,2025-05-20,4.0,2.0,16,2,13,0,2,0,3,0,1,0,29.25,0.0,4.5,1.0,6.75,0.0,1.5,0.0,2.25,0.0,4.5,0.0
777851,2025-05-20,6.9,2.0,4,1,0,0,1,0,3,2,0,0,0.0,0.0,0.72,0.5,3.91,9.0,3.0,0.0,0.0,0.0,1.3,0.0
777841,2025-05-20,3.9,3.9,1,2,0,1,0,3,0,1,0,0,0.0,2.31,0.26,1.28,0.0,2.31,0.0,0.33,0.0,0.0,0.0,6.92
777848,2025-05-20,4.0,3.2,2,3,0,3,1,3,7,0,0,0,0.0,8.44,0.75,1.88,15.75,0.0,7.0,0.0,0.0,0.0,2.25,8.44
777849,2025-05-20,3.8,3.0,3,4,2,2,1,1,4,3,1,1,4.74,6.0,1.05,1.67,9.47,9.0,4.0,3.0,2.37,3.0,2.37,3.0
777845,2025-05-20,3.0,1.0,1,0,0,0,0,1,2,1,0,0,0.0,0.0,0.33,1.0,6.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0
777846,2025-05-20,3.0,7.0,2,6,0,1,1,0,4,7,0,0,0.0,1.29,1.0,0.86,12.0,9.0,4.0,0.0,0.0,0.0,3.0,0.0
777844,2025-05-20,4.0,7.0,6,7,2,5,0,6,6,4,0,3,4.5,6.43,1.5,1.86,13.5,5.14,0.0,0.67,0.0,3.86,0.0,7.71
777840,2025-05-20,4.0,3.8,2,3,1,1,0,2,3,2,0,0,2.25,2.37,0.5,1.32,6.75,4.74,0.0,1.0,0.0,0.0,0.0,4.74
777842,2025-05-20,3.0,3.0,7,6,3,3,1,0,2,1,1,0,9.0,9.0,2.67,2.0,6.0,3.0,2.0,0.0,3.0,0.0,3.0,0.0
777836,2025-05-20,4.0,3.8,2,1,1,0,1,2,6,3,0,0,2.25,0.0,0.75,0.79,13.5,7.11,6.0,1.5,0.0,0.0,2.25,4.74
777843,2025-05-20,4.8,3.8,5,3,2,1,1,0,4,3,0,0,3.75,2.37,1.25,0.79,7.5,7.11,4.0,0.0,0.0,0.0,1.88,0.0
777838,2025-05-20,3.0,4.2,6,4,2,2,1,4,4,5,2,0,6.0,4.29,2.33,1.9,12.0,10.71,4.0,1.25,6.0,0.0,3.0,8.57
