game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
776375,2025-09-10,3.8,3.0,1,0,0,0,1,3,4,1,0,0,0.0,0.0,0.53,1.0,9.47,3.0,4.0,0.33,0.0,0.0,2.37,9.0
776379,2025-09-10,5.8,6.1,2,9,1,3,2,2,3,7,0,0,1.55,4.43,0.69,1.8,4.66,10.33,1.5,3.5,0.0,0.0,3.1,2.95
776374,2025-09-10,7.9,2.9,5,4,1,3,4,1,8,1,0,0,1.14,9.31,1.14,1.72,9.11,3.1,2.0,1.0,0.0,0.0,4.56,3.1
776376,2025-09-10,5.0,1.9,2,1,2,1,3,0,8,0,1,0,3.6,4.74,1.0,0.53,14.4,0.0,2.67,0.0,1.8,0.0,5.4,0.0
776387,2025-09-10,3.8,4.0,1,5,0,1,2,3,4,4,0,0,0.0,2.25,0.79,2.0,9.47,9.0,2.0,1.33,0.0,0.0,4.74,6.75
776382,2025-09-10,4.0,7.0,2,4,2,1,1,4,4,3,0,0,4.5,1.29,0.75,1.14,9.0,3.86,4.0,0.75,0.0,0.0,2.25,5.14
776386,2025-09-10,3.8,3.0,3,8,0,4,0,2,6,3,0,1,0.0,12.0,0.79,3.33,14.21,9.0,0.0,1.5,0.0,3.0,0.0,6.0
776384,2025-09-10,3.0,4.0,5,8,2,7,2,1,3,7,1,2,6.0,15.75,2.33,2.25,9.0,15.75,1.5,7.0,3.0,4.5,6.0,2.25
776383,2025-09-10,3.0,4.0,11,6,9,1,0,1,2,6,3,1,27.0,2.25,3.67,1.75,6.0,13.5,0.0,6.0,9.0,2.25,0.0,2.25
776385,2025-09-10,3.9,2.0,2,4,1,2,3,0,4,3,1,0,2.31,9.0,1.28,2.0,9.23,13.5,1.33,0.0,2.31,0.0,6.92,0.0
776381,2025-09-10,4.0,4.9,4,1,0,0,2,0,4,5,0,0,0.0,0.0,1.5,0.2,9.0,9.18,2.0,0.0,0.0,0.0,4.5,0.0
776378,2025-09-10,4.9,7.0,3,7,2,6,3,3,7,10,1,1,3.67,7.71,1.22,1.43,12.86,12.86,2.33,3.33,1.84,1.29,5.51,3.86
776377,2025-09-10,2.0,1.0,3,1,2,0,4,0,2,1,0,0,9.0,0.0,3.5,1.0,9.0,9.0,0.5,0.0,0.0,0.0,18.0,0.0
776373,2025-09-10,8.8,6.0,3,4,0,1,0,5,6,7,0,1,0.0,1.5,0.34,1.5,6.14,10.5,0.0,1.4,0.0,1.5,0.0,7.5
776380,2025-09-10,3.0,2.8,0,5,0,4,4,0,6,0,0,2,0.0,12.86,1.33,1.79,18.0,0.0,1.5,0.0,0.0,6.43,12.0,0.0
