game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
777924,2025-05-14,3.3333,2,1,2,4,0,2.7,1.2,10.8,2.0,0.0,5.4,4.3333,2,0,3,7,0,0.0,1.15,14.54,2.33,0.0,6.23
777938,2025-05-14,6.0,6,4,3,6,2,6.0,1.5,9.0,2.0,3.0,4.5,5.0,3,0,0,3,0,0.0,0.6,5.4,0.0,0.0,0.0
777922,2025-05-14,2.0,1,0,1,4,0,0.0,1.0,18.0,4.0,0.0,4.5,2.3333,4,2,0,2,0,7.71,1.71,7.71,0.0,0.0,0.0
777933,2025-05-14,5.3333,7,4,2,4,0,6.75,1.69,6.75,2.0,0.0,3.38,5.3333,2,0,2,7,0,0.0,0.75,11.81,3.5,0.0,3.38
777925,2025-05-14,4.0,9,7,3,3,1,15.75,3.0,6.75,1.0,2.25,6.75,4.0,3,3,2,2,1,6.75,1.25,4.5,1.0,2.25,4.5
777916,2025-05-14,7.0,6,3,5,5,2,3.86,1.57,6.43,1.0,2.57,6.43,5.0,6,3,4,8,1,5.4,2.0,14.4,2.0,1.8,7.2
777915,2025-05-14,3.0,3,2,0,6,2,6.0,1.0,18.0,0.0,6.0,0.0,4.0,2,0,1,6,0,0.0,0.75,13.5,6.0,0.0,2.25
777927,2025-05-14,2.6667,4,0,1,3,0,0.0,1.87,10.12,3.0,0.0,3.37,3.6667,1,1,1,3,0,2.45,0.55,7.36,3.0,0.0,2.45
777923,2025-05-14,3.3333,0,0,0,3,0,0.0,0.0,8.1,0.0,0.0,0.0,2.0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0
777919,2025-05-14,3.0,2,0,1,5,0,0.0,1.0,15.0,5.0,0.0,3.0,5.3333,3,0,0,3,0,0.0,0.56,5.06,0.0,0.0,0.0
777928,2025-05-14,3.6667,3,1,1,3,1,2.45,1.09,7.36,3.0,2.45,2.45,2.3333,2,1,1,1,0,3.86,1.29,3.86,1.0,0.0,3.86
777929,2025-05-14,3.0,6,2,1,3,0,6.0,2.33,9.0,3.0,0.0,3.0,4.3333,4,0,1,3,0,0.0,1.15,6.23,3.0,0.0,2.08
777921,2025-05-14,3.0,2,0,1,4,0,0.0,1.0,12.0,4.0,0.0,3.0,4.0,3,0,1,4,0,0.0,1.0,9.0,4.0,0.0,2.25
777918,2025-05-14,3.0,3,0,1,5,0,0.0,1.33,15.0,5.0,0.0,3.0,3.3333,3,2,3,2,1,5.4,1.8,5.4,0.67,2.7,8.1
777920,2025-05-14,4.6667,1,0,2,7,0,0.0,0.64,13.5,3.5,0.0,3.86,0.6667,1,0,1,1,0,0.0,3.0,13.5,1.0,0.0,13.5
777914,2025-05-14,3.0,0,0,1,2,0,0.0,0.33,6.0,2.0,0.0,3.0,2.0,2,0,4,4,0,0.0,3.0,18.0,1.0,0.0,18.0
777917,2025-05-14,3.0,1,0,0,2,0,0.0,0.33,6.0,0.0,0.0,0.0,2.6667,6,5,3,2,1,16.87,3.37,6.75,0.67,3.37,10.12
777938,2025-05-14,6.0,6,4,3,6,2,6.0,1.5,9.0,2.0,3.0,4.5,5.0,3,0,0,3,0,0.0,0.6,5.4,0.0,0.0,0.0
777933,2025-05-14,5.3333,7,4,2,4,0,6.75,1.69,6.75,2.0,0.0,3.38,5.3333,2,0,2,7,0,0.0,0.75,11.81,3.5,0.0,3.38
