game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
777230,2025-07-05,8.0,11,5,3,5,0,5.62,1.75,5.62,1.67,0.0,3.38,2.3333,5,3,3,2,1,11.57,3.43,7.71,0.67,3.86,11.57
777229,2025-07-05,8.6667,12,6,0,7,3,6.23,1.38,7.27,0.0,3.12,0.0,4.0,5,3,2,5,1,6.75,1.75,11.25,2.5,2.25,4.5
777231,2025-07-05,7.0,2,1,2,5,0,1.29,0.57,6.43,2.5,0.0,2.57,5.3334,7,0,3,7,0,0.0,1.87,11.81,2.33,0.0,5.06
777228,2025-07-05,3.0,1,0,0,2,0,0.0,0.33,6.0,0.0,0.0,0.0,4.0,1,0,0,2,0,0.0,0.25,4.5,0.0,0.0,0.0
777233,2025-07-05,4.0,3,0,0,1,0,0.0,0.75,2.25,0.0,0.0,0.0,2.0,1,1,0,3,1,4.5,0.5,13.5,0.0,4.5,0.0
777234,2025-07-05,2.0,1,0,0,2,0,0.0,0.5,9.0,0.0,0.0,0.0,4.0,4,3,2,3,1,6.75,1.5,6.75,1.5,2.25,4.5
777237,2025-07-05,7.6667,6,5,4,10,1,5.87,1.3,11.74,2.5,1.17,4.7,5.6667,2,1,3,8,0,1.59,0.88,12.71,2.67,0.0,4.76
777241,2025-07-05,3.3333,4,2,2,5,1,5.4,1.8,13.5,2.5,2.7,5.4,3.0,5,5,2,4,1,15.0,2.33,12.0,2.0,3.0,6.0
777238,2025-07-05,5.3333,3,0,0,6,0,0.0,0.56,10.13,0.0,0.0,0.0,3.0,4,2,0,3,0,6.0,1.33,9.0,0.0,0.0,0.0
777240,2025-07-05,3.0,0,0,2,4,0,0.0,0.67,12.0,2.0,0.0,6.0,2.0,0,0,1,2,0,0.0,0.5,9.0,2.0,0.0,4.5
777221,2025-07-05,7.0,8,5,1,7,1,6.43,1.29,9.0,7.0,1.29,1.29,3.0,2,0,1,4,0,0.0,1.0,12.0,4.0,0.0,3.0
777232,2025-07-05,3.0,4,4,4,3,1,12.0,2.67,9.0,0.75,3.0,12.0,3.6667,3,1,1,2,1,2.45,1.09,4.91,2.0,2.45,2.45
777223,2025-07-05,3.6667,2,1,2,2,0,2.45,1.09,4.91,1.0,0.0,4.91,3.0,4,2,3,4,0,6.0,2.33,12.0,1.33,0.0,9.0
777227,2025-07-05,4.6667,5,2,2,4,0,3.86,1.5,7.71,2.0,0.0,3.86,2.3333,0,0,0,2,0,0.0,0.0,7.71,0.0,0.0,0.0
777225,2025-07-05,2.0,0,0,1,3,0,0.0,0.5,13.5,3.0,0.0,4.5,3.0,2,1,1,3,0,3.0,1.0,9.0,3.0,0.0,3.0
