game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
777406,2025-06-22,2.6667,1,0,2,4,0,0.0,1.12,13.5,2.0,0.0,6.75,2.3333,4,2,2,2,0,7.71,2.57,7.71,1.0,0.0,7.71
777409,2025-06-22,4.0,8,8,3,5,2,18.0,2.75,11.25,1.67,4.5,6.75,4.0,3,2,3,2,0,4.5,1.5,4.5,0.67,0.0,6.75
777404,2025-06-22,3.6667,0,0,0,5,0,0.0,0.0,12.27,0.0,0.0,0.0,4.0,10,5,1,1,0,11.25,2.75,2.25,1.0,0.0,2.25
777408,2025-06-22,3.0,3,0,4,5,0,0.0,2.33,15.0,1.25,0.0,12.0,2.6667,1,0,1,2,0,0.0,0.75,6.75,2.0,0.0,3.37
777402,2025-06-22,3.0,1,0,1,3,0,0.0,0.67,9.0,3.0,0.0,3.0,2.6667,2,0,1,3,0,0.0,1.12,10.12,3.0,0.0,3.37
777401,2025-06-22,8.0,15,8,3,5,2,9.0,2.25,5.62,1.67,2.25,3.38,5.6667,9,5,3,4,2,7.94,2.12,6.35,1.33,3.18,4.76
777407,2025-06-22,4.0,2,1,0,4,0,2.25,0.5,9.0,0.0,0.0,0.0,2.0,0,0,1,0,0,0.0,0.5,0.0,0.0,0.0,4.5
777403,2025-06-22,3.6667,7,7,3,1,1,17.18,2.73,2.45,0.33,2.45,7.36,4.0,2,2,1,3,1,4.5,0.75,6.75,3.0,2.25,2.25
777399,2025-06-22,3.6667,1,0,1,3,0,0.0,0.55,7.36,3.0,0.0,2.45,3.0,0,0,1,3,0,0.0,0.33,9.0,3.0,0.0,3.0
777400,2025-06-22,4.0,1,0,0,4,0,0.0,0.25,9.0,0.0,0.0,0.0,2.0,3,0,2,3,0,0.0,2.5,13.5,1.5,0.0,9.0
777395,2025-06-22,4.0,4,1,2,4,1,2.25,1.5,9.0,2.0,2.25,4.5,2.0,7,2,0,0,1,9.0,3.5,0.0,0.0,4.5,0.0
777397,2025-06-22,4.0,5,3,3,5,1,6.75,2.0,11.25,1.67,2.25,6.75,3.0,5,2,1,6,1,6.0,2.0,18.0,6.0,3.0,3.0
777398,2025-06-22,8.0,11,7,6,2,1,7.88,2.12,2.25,0.33,1.12,6.75,2.6667,9,9,1,1,3,30.37,3.75,3.37,1.0,10.12,3.37
777396,2025-06-22,2.0,2,0,1,1,0,0.0,1.5,4.5,1.0,0.0,4.5,2.0,3,2,3,2,0,9.0,3.0,9.0,0.67,0.0,13.5
777405,2025-06-22,2.3333,1,1,0,2,1,3.86,0.43,7.71,0.0,3.86,0.0,4.0,4,2,0,4,0,4.5,1.0,9.0,0.0,0.0,0.0
