Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-30,TB,WAS,TB,WAS,0,-1.5,112,-115,4.0,1.0,3.0,1,1,112,-115,4.0,1.0,-3.0
2025-08-30,BOS,PIT,PIT,BOS,1,-1.5,124,-134,3.0,10.0,-7.0,0,0,-134,124,10.0,3.0,-7.0
2025-08-30,NYM,MIA,NYM,MIA,0,-1.5,130,-143,8.0,11.0,-3.0,0,0,130,-143,8.0,11.0,3.0
2025-08-30,CIN,STL,STL,CIN,1,-1.5,153,-165,2.0,4.0,-2.0,0,0,-165,153,4.0,2.0,-2.0
2025-08-30,NYY,CWS,NYY,CWS,0,-1.5,-130,120,5.0,3.0,2.0,1,1,-130,120,5.0,3.0,-2.0
2025-08-30,HOU,LAA,LAA,HOU,1,-1.5,130,-147,1.0,4.0,-3.0,0,0,-147,130,4.0,1.0,-3.0
2025-08-30,SEA,CLE,SEA,CLE,0,-1.5,133,-143,3.0,4.0,-1.0,1,0,133,-143,3.0,4.0,1.0
2025-08-30,CHC,COL,CHC,COL,0,-1.5,-126,124,4.0,3.0,1.0,1,1,-126,124,4.0,3.0,-1.0
2025-08-30,LAD,ARI,LAD,ARI,0,-1.5,-106,-101,1.0,6.0,-5.0,0,0,-106,-101,1.0,6.0,5.0
2025-08-30,PHI,ATL,ATL,PHI,1,-1.5,158,-173,3.0,2.0,1.0,1,1,-173,158,2.0,3.0,1.0
2025-08-30,DET,KAN,DET,KAN,0,-1.5,138,-158,1.0,3.0,-2.0,0,0,138,-158,1.0,3.0,2.0
2025-08-30,BAL,SF,BAL,SF,0,-1.5,142,-154,11.0,1.0,10.0,1,1,142,-154,11.0,1.0,-10.0
2025-08-30,SD,MIN,SD,MIN,0,-1.5,109,-122,12.0,3.0,9.0,1,1,109,-122,12.0,3.0,-9.0
2025-08-30,TOR,MIL,MIL,TOR,1,-1.5,156,-167,1.0,4.0,-3.0,0,0,-167,156,4.0,1.0,-3.0
2025-08-30,TEX,OAK,TEX,OAK,0,-1.5,117,-126,9.0,3.0,6.0,1,1,117,-126,9.0,3.0,-6.0
