Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-19,OAK,PIT,OAK,PIT,0,-1.5,159,-165,4.0,3.0,1.0,1,1,159,-165,4.0,3.0,-1.0
2025-09-19,DET,ATL,ATL,DET,1,-1.5,176,-193,1.0,10.0,-9.0,0,0,-193,176,10.0,1.0,-9.0
2025-09-19,TOR,KAN,TOR,KAN,0,-1.5,131,-141,1.0,20.0,-19.0,0,0,131,-141,1.0,20.0,19.0
2025-09-19,TEX,MIA,MIA,TEX,1,-1.5,149,-159,4.0,6.0,-2.0,0,0,-159,149,6.0,4.0,-2.0
2025-09-19,LAA,COL,LAA,COL,0,-1.5,131,-138,6.0,7.0,-1.0,1,0,131,-138,6.0,7.0,1.0
2025-09-19,MIL,STL,MIL,STL,0,-1.5,143,-153,1.0,7.0,-6.0,0,0,143,-153,1.0,7.0,6.0
2025-09-19,ARI,PHI,PHI,ARI,1,-1.5,160,-184,2.0,8.0,-6.0,0,0,-184,160,8.0,2.0,-6.0
2025-09-19,HOU,SEA,SEA,HOU,1,-1.5,205,-232,0.0,4.0,-4.0,0,0,-232,205,4.0,0.0,-4.0
2025-09-19,CHC,CIN,CHC,CIN,0,-1.5,152,-170,4.0,7.0,-3.0,0,0,152,-170,4.0,7.0,3.0
2025-09-19,SD,CWS,SD,CWS,0,-1.5,-110,104,3.0,4.0,-1.0,1,0,-110,104,3.0,4.0,1.0
2025-09-19,LAD,SF,LAD,SF,0,-1.5,116,-127,6.0,3.0,3.0,1,1,116,-127,6.0,3.0,-3.0
2025-09-19,NYM,WAS,NYM,WAS,0,-1.5,109,-117,12.0,6.0,6.0,1,1,109,-117,12.0,6.0,-6.0
2025-09-19,NYY,BAL,NYY,BAL,0,-1.5,141,-153,2.0,4.0,-2.0,0,0,141,-153,2.0,4.0,2.0
2025-09-19,BOS,TB,BOS,TB,0,-1.5,139,-153,11.0,7.0,4.0,1,1,139,-153,11.0,7.0,-4.0
2025-09-19,MIN,CLE,CLE,MIN,1,-1.5,189,-211,2.0,6.0,-4.0,0,0,-211,189,6.0,2.0,-4.0
