Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-17,BOS,MIA,MIA,BOS,1,-1.5,-116,115,3.0,5.0,-2.0,0,0,115,-116,5.0,3.0,-2.0
2025-08-17,SF,TB,SF,TB,0,-1.5,173,-189,7.0,1.0,6.0,1,1,173,-189,7.0,1.0,-6.0
2025-08-17,CIN,MIL,MIL,CIN,1,-1.5,172,-191,3.0,2.0,1.0,1,1,-191,172,2.0,3.0,1.0
2025-08-17,LAD,SD,LAD,SD,0,-1.5,153,-161,5.0,4.0,1.0,1,1,153,-161,5.0,4.0,-1.0
2025-08-17,NYY,STL,NYY,STL,0,-1.5,113,-118,8.0,4.0,4.0,1,1,113,-118,8.0,4.0,-4.0
2025-08-17,LAA,OAK,LAA,OAK,0,-1.5,141,-159,11.0,5.0,6.0,1,1,141,-159,11.0,5.0,-6.0
2025-08-17,KAN,CWS,CWS,KAN,1,-1.5,123,-136,6.0,2.0,4.0,1,1,-136,123,2.0,6.0,4.0
2025-08-17,HOU,BAL,BAL,HOU,1,-1.5,163,-182,0.0,12.0,-12.0,0,0,-182,163,12.0,0.0,-12.0
2025-08-17,CLE,ATL,ATL,CLE,1,-1.5,181,-202,4.0,5.0,-1.0,1,0,-202,181,5.0,4.0,-1.0
2025-08-17,SEA,NYM,SEA,NYM,0,-1.5,141,-156,3.0,7.0,-4.0,0,0,141,-156,3.0,7.0,4.0
2025-08-17,TOR,TEX,TEX,TOR,1,-1.5,184,-202,4.0,10.0,-6.0,0,0,-202,184,10.0,4.0,-6.0
2025-08-17,DET,MIN,DET,MIN,0,-1.5,135,-143,1.0,8.0,-7.0,0,0,135,-143,1.0,8.0,7.0
2025-08-17,ARI,COL,ARI,COL,0,-1.5,108,-120,5.0,6.0,-1.0,1,0,108,-120,5.0,6.0,1.0
2025-08-17,CHC,PIT,CHC,PIT,0,-1.5,120,-127,4.0,3.0,1.0,1,1,120,-127,4.0,3.0,-1.0
