Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-08,CIN,PIT,CIN,PIT,0,-1.5,146,-158,2.0,3.0,-1.0,1,0,146,-158,2.0,3.0,1.0
2025-08-08,CIN,PIT,CIN,PIT,0,-0.5,111,-136,2.0,3.0,-1.0,0,0,111,-136,2.0,3.0,1.0
2025-08-08,PHI,TEX,PHI,TEX,0,-1.5,139,-145,9.0,1.0,8.0,1,1,139,-145,9.0,1.0,-8.0
2025-08-08,PHI,TEX,PHI,TEX,0,-0.5,111,-123,9.0,1.0,8.0,1,1,111,-123,9.0,1.0,-8.0
2025-08-08,MIL,NYM,NYM,MIL,1,-1.5,160,-169,3.0,2.0,1.0,1,1,-169,160,2.0,3.0,1.0
2025-08-08,MIL,NYM,NYM,MIL,1,-0.5,-111,-115,3.0,2.0,1.0,1,1,-115,-111,2.0,3.0,1.0
2025-08-08,ARI,COL,COL,ARI,1,-1.5,-116,108,6.0,1.0,5.0,1,1,108,-116,1.0,6.0,5.0
2025-08-08,SF,WAS,SF,WAS,0,-1.5,140,-159,5.0,0.0,5.0,1,1,140,-159,5.0,0.0,-5.0
2025-08-08,SF,WAS,SF,WAS,0,-0.5,-109,-117,5.0,0.0,5.0,1,1,-109,-117,5.0,0.0,-5.0
2025-08-08,HOU,NYY,HOU,NYY,0,-0.5,124,-141,5.0,3.0,2.0,1,1,124,-141,5.0,3.0,-2.0
2025-08-08,HOU,NYY,HOU,NYY,0,-1.5,162,-173,5.0,3.0,2.0,1,1,162,-173,5.0,3.0,-2.0
2025-08-08,DET,LAA,LAA,DET,1,-1.5,-129,122,6.0,5.0,1.0,1,1,122,-129,5.0,6.0,1.0
2025-08-08,CLE,CWS,CLE,CWS,0,-0.5,105,-134,9.0,5.0,4.0,1,1,105,-134,9.0,5.0,-4.0
2025-08-08,CLE,CWS,CLE,CWS,0,-1.5,122,-131,9.0,5.0,4.0,1,1,122,-131,9.0,5.0,-4.0
2025-08-08,MIN,KAN,KAN,MIN,1,-1.5,164,-173,9.0,4.0,5.0,1,1,-173,164,4.0,9.0,5.0
2025-08-08,MIN,KAN,KAN,MIN,1,-0.5,-104,-123,9.0,4.0,5.0,1,1,-123,-104,4.0,9.0,5.0
2025-08-08,MIA,ATL,MIA,ATL,0,-1.5,137,-146,5.0,1.0,4.0,1,1,137,-146,5.0,1.0,-4.0
2025-08-08,MIA,ATL,MIA,ATL,0,-0.5,113,-128,5.0,1.0,4.0,1,1,113,-128,5.0,1.0,-4.0
2025-08-08,BAL,OAK,OAK,BAL,1,-1.5,183,-194,3.0,2.0,1.0,1,1,-194,183,2.0,3.0,1.0
2025-08-08,BAL,OAK,OAK,BAL,1,-0.5,123,-158,3.0,2.0,1.0,1,1,-158,123,2.0,3.0,1.0
2025-08-08,SD,BOS,SD,BOS,0,-0.5,-129,102,2.0,10.0,-8.0,0,0,-129,102,2.0,10.0,8.0
2025-08-08,SD,BOS,SD,BOS,0,-1.5,130,-139,2.0,10.0,-8.0,0,0,130,-139,2.0,10.0,8.0
2025-08-08,LAD,TOR,LAD,TOR,0,-1.5,150,-159,5.0,1.0,4.0,1,1,150,-159,5.0,1.0,-4.0
2025-08-08,LAD,TOR,LAD,TOR,0,-0.5,106,-133,5.0,1.0,4.0,1,1,106,-133,5.0,1.0,-4.0
2025-08-08,CHC,STL,CHC,STL,0,-1.5,114,-120,0.0,5.0,-5.0,0,0,114,-120,0.0,5.0,5.0
2025-08-08,CHC,STL,CHC,STL,0,-0.5,-126,100,0.0,5.0,-5.0,0,0,-126,100,0.0,5.0,5.0
2025-08-08,SEA,TB,TB,SEA,1,-0.5,123,-158,3.0,2.0,1.0,1,1,-158,123,2.0,3.0,1.0
2025-08-08,SEA,TB,TB,SEA,1,-1.5,181,-190,3.0,2.0,1.0,1,1,-190,181,2.0,3.0,1.0
