Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-24,LAA,KAN,LAA,KAN,0,-1.5,180,-204,3.0,2.0,1.0,1,1,180,-204,3.0,2.0,-1.0
2025-09-24,SEA,COL,COL,SEA,1,-1.5,-131,118,9.0,2.0,7.0,1,1,118,-131,2.0,9.0,7.0
2025-09-24,HOU,OAK,HOU,OAK,0,-1.5,130,-142,0.0,6.0,-6.0,0,0,130,-142,0.0,6.0,6.0
2025-09-24,CLE,DET,DET,CLE,1,-1.5,155,-170,5.0,1.0,4.0,1,1,-170,155,1.0,5.0,4.0
2025-09-24,PHI,MIA,MIA,PHI,1,-1.5,121,-129,11.0,1.0,10.0,1,1,-129,121,1.0,11.0,10.0
2025-09-24,CHC,NYM,CHC,NYM,0,-1.5,182,-210,10.0,3.0,7.0,1,1,182,-210,10.0,3.0,-7.0
2025-09-24,TEX,MIN,MIN,TEX,1,-1.5,117,-133,4.0,2.0,2.0,1,1,-133,117,2.0,4.0,2.0
2025-09-24,CIN,PIT,PIT,CIN,1,-1.5,192,-217,3.0,4.0,-1.0,1,0,-217,192,4.0,3.0,-1.0
2025-09-24,SD,MIL,SD,MIL,0,-1.5,175,-189,1.0,3.0,-2.0,0,0,175,-189,1.0,3.0,2.0
2025-09-24,BOS,TOR,BOS,TOR,0,-1.5,140,-156,7.0,1.0,6.0,1,1,140,-156,7.0,1.0,-6.0
2025-09-24,SF,STL,SF,STL,0,-1.5,186,-210,4.0,3.0,1.0,1,1,186,-210,4.0,3.0,-1.0
2025-09-24,LAD,ARI,LAD,ARI,0,-1.5,113,-126,5.0,4.0,1.0,1,1,113,-126,5.0,4.0,-1.0
2025-09-24,BAL,TB,TB,BAL,1,-1.5,181,-183,2.0,6.0,-4.0,0,0,-183,181,6.0,2.0,-4.0
2025-09-24,NYY,CWS,NYY,CWS,0,-1.5,-154,147,8.0,1.0,7.0,1,1,-154,147,8.0,1.0,-7.0
