Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-01,NYM,SF,NYM,SF,0,-1.5,154,-168,3.0,4.0,-1.0,1,0,154,-168,3.0,4.0,1.0
2025-08-01,LAA,CWS,LAA,CWS,0,-1.5,156,-170,3.0,6.0,-3.0,0,0,156,-170,3.0,6.0,3.0
2025-08-01,SEA,TEX,TEX,SEA,1,-1.5,122,-136,4.0,3.0,1.0,1,1,-136,122,3.0,4.0,1.0
2025-08-01,OAK,ARI,ARI,OAK,1,-1.5,177,-191,5.0,1.0,4.0,1,1,-191,177,1.0,5.0,4.0
2025-08-01,PIT,COL,PIT,COL,0,-1.5,114,-125,16.0,17.0,-1.0,1,0,114,-125,16.0,17.0,1.0
2025-08-01,NYY,MIA,NYY,MIA,0,-1.5,103,-114,12.0,13.0,-1.0,1,0,103,-114,12.0,13.0,1.0
2025-08-01,TOR,KAN,KAN,TOR,1,-1.5,145,-160,3.0,9.0,-6.0,0,0,-160,145,9.0,3.0,-6.0
2025-08-01,HOU,BOS,HOU,BOS,0,-1.5,139,-150,1.0,2.0,-1.0,1,0,139,-150,1.0,2.0,1.0
2025-08-01,LAD,TB,LAD,TB,0,-1.5,131,-144,5.0,0.0,5.0,1,1,131,-144,5.0,0.0,-5.0
2025-08-01,CLE,MIN,MIN,CLE,1,-1.5,183,-199,3.0,2.0,1.0,1,1,-199,183,2.0,3.0,1.0
2025-08-01,PHI,DET,DET,PHI,1,-1.5,145,-158,5.0,4.0,1.0,1,1,-158,145,4.0,5.0,1.0
2025-08-01,MIL,WAS,MIL,WAS,0,-1.5,114,-119,16.0,9.0,7.0,1,1,114,-119,16.0,9.0,-7.0
2025-08-01,CHC,BAL,CHC,BAL,0,-1.5,143,-165,1.0,0.0,1.0,1,1,143,-165,1.0,0.0,-1.0
2025-08-01,SD,STL,SD,STL,0,-1.5,121,-133,4.0,1.0,3.0,1,1,121,-133,4.0,1.0,-3.0
