Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-07,OAK,LAA,OAK,LAA,0,-1.5,133,-153,3.0,4.0,-1.0,1,0,133,-153,3.0,4.0,1.0
2025-09-07,NYY,TOR,NYY,TOR,0,-1.5,122,-136,4.0,3.0,1.0,1,1,122,-136,4.0,3.0,-1.0
2025-09-07,MIL,PIT,MIL,PIT,0,-1.5,129,-143,10.0,2.0,8.0,1,1,129,-143,10.0,2.0,-8.0
2025-09-07,CIN,NYM,NYM,CIN,1,-1.5,173,-198,3.0,2.0,1.0,1,1,-198,173,2.0,3.0,1.0
2025-09-07,LAD,BAL,LAD,BAL,0,-1.5,101,-107,5.0,2.0,3.0,1,1,101,-107,5.0,2.0,-3.0
2025-09-07,PHI,MIA,PHI,MIA,0,-1.5,125,-135,4.0,5.0,-1.0,1,0,125,-135,4.0,5.0,1.0
2025-09-07,CHC,WAS,CHC,WAS,0,-1.5,119,-129,3.0,6.0,-3.0,0,0,119,-129,3.0,6.0,3.0
2025-09-07,STL,SF,STL,SF,0,-1.5,158,-167,4.0,3.0,1.0,1,1,158,-167,4.0,3.0,-1.0
2025-09-07,HOU,TEX,HOU,TEX,0,-1.5,127,-140,2.0,4.0,-2.0,0,0,127,-140,2.0,4.0,2.0
2025-09-07,DET,CWS,CWS,DET,1,-1.5,117,-130,4.0,6.0,-2.0,0,0,-130,117,6.0,4.0,-2.0
2025-09-07,SD,COL,SD,COL,0,-1.5,-149,142,8.0,1.0,7.0,1,1,-149,142,8.0,1.0,-7.0
2025-09-07,ARI,BOS,BOS,ARI,1,-1.5,187,-210,4.0,7.0,-3.0,0,0,-210,187,7.0,4.0,-3.0
2025-09-07,KAN,MIN,MIN,KAN,1,-1.5,170,-192,1.0,5.0,-4.0,0,0,-192,170,5.0,1.0,-4.0
