Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-25,SEA,SD,SD,SEA,1,-1.5,174,-196,9.0,6.0,3.0,1,1,-196,174,6.0,9.0,3.0
2025-08-25,NYY,WAS,NYY,WAS,0,-1.5,-108,105,10.0,5.0,5.0,1,1,-108,105,10.0,5.0,-5.0
2025-08-25,BOS,BAL,BOS,BAL,0,-1.5,146,-152,4.0,3.0,1.0,1,1,146,-152,4.0,3.0,-1.0
2025-08-25,PHI,NYM,PHI,NYM,0,-1.5,142,-152,3.0,13.0,-10.0,0,0,142,-152,3.0,13.0,10.0
2025-08-25,CLE,TB,TB,CLE,1,-1.5,182,-195,0.0,9.0,-9.0,0,0,-195,182,9.0,0.0,-9.0
2025-08-25,TOR,MIN,MIN,TOR,1,-1.5,153,-168,10.0,4.0,6.0,1,1,-168,153,4.0,10.0,6.0
2025-08-25,KAN,CWS,KAN,CWS,0,-1.5,125,-138,0.0,7.0,-7.0,0,0,125,-138,0.0,7.0,7.0
2025-08-25,ATL,MIA,ATL,MIA,0,-1.5,159,-167,1.0,2.0,-1.0,1,0,159,-167,1.0,2.0,1.0
2025-08-25,DET,OAK,DET,OAK,0,-1.5,-115,112,3.0,8.0,-5.0,0,0,-115,112,3.0,8.0,5.0
2025-08-25,MIL,ARI,ARI,MIL,1,-1.5,123,-125,7.0,5.0,2.0,1,1,-125,123,5.0,7.0,2.0
2025-08-25,STL,PIT,STL,PIT,0,-1.5,177,-184,7.0,6.0,1.0,1,1,177,-184,7.0,6.0,-1.0
2025-08-25,TEX,LAA,LAA,TEX,1,-1.5,133,-143,0.0,4.0,-4.0,0,0,-143,133,4.0,0.0,-4.0
2025-08-25,LAD,CIN,LAD,CIN,0,-1.5,153,-160,7.0,0.0,7.0,1,1,153,-160,7.0,0.0,-7.0
