Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-08-20,ATL,CWS,CWS,ATL,1,-1.5,112,-116,1.0,0.0,1.0,1,1,-116,112,0.0,1.0,1.0
2025-08-20,PHI,SEA,SEA,PHI,1,-1.5,161,-165,11.0,2.0,9.0,1,1,-165,161,2.0,11.0,9.0
2025-08-20,HOU,DET,HOU,DET,0,-1.5,156,-168,2.0,7.0,-5.0,0,0,156,-168,2.0,7.0,5.0
2025-08-20,SD,SF,SD,SF,0,-1.5,154,-160,8.0,1.0,7.0,1,1,154,-160,8.0,1.0,-7.0
2025-08-20,LAD,COL,LAD,COL,0,-1.5,-198,188,3.0,8.0,-5.0,0,0,-198,188,3.0,8.0,5.0
2025-08-20,ARI,CLE,CLE,ARI,1,-1.5,178,-192,3.0,2.0,1.0,1,1,-192,178,2.0,3.0,1.0
2025-08-20,NYM,WAS,NYM,WAS,0,-1.5,105,-107,4.0,5.0,-1.0,1,0,105,-107,4.0,5.0,1.0
2025-08-20,MIA,STL,STL,MIA,1,-1.5,181,-195,6.0,2.0,4.0,1,1,-195,181,2.0,6.0,4.0
2025-08-20,MIL,CHC,MIL,CHC,0,-1.5,155,-170,3.0,4.0,-1.0,1,0,155,-170,3.0,4.0,1.0
2025-08-20,TB,NYY,TB,NYY,0,-1.5,175,-195,4.0,6.0,-2.0,0,0,175,-195,4.0,6.0,2.0
2025-08-20,LAA,CIN,LAA,CIN,0,-1.5,162,-175,2.0,1.0,1.0,1,1,162,-175,2.0,1.0,-1.0
2025-08-20,MIN,OAK,OAK,MIN,1,-1.5,167,-186,2.0,4.0,-2.0,0,0,-186,167,4.0,2.0,-2.0
2025-08-20,KAN,TEX,TEX,KAN,1,-1.5,162,-171,3.0,6.0,-3.0,0,0,-171,162,6.0,3.0,-3.0
