Date,Fav Team,Dog Team,away_team,home_team,Fav Home?,Spread,Fav Spread Odds,Dog Spread Odds,Fav Score,Dog Score,Fav/Dog +/-,Fav Cover?,Fav Win?,Away Spread Odds,Home  Spread Odds,Away Score,Home Score,Home/Away  +/-
2025-09-14,CHC,TB,CHC,TB,0,-1.5,138,-153,4.0,3.0,1.0,1,1,138,-153,4.0,3.0,-1.0
2025-09-14,TOR,BAL,BAL,TOR,1,-1.5,110,-121,11.0,2.0,9.0,1,1,-121,110,2.0,11.0,9.0
2025-09-14,HOU,ATL,HOU,ATL,0,-1.5,123,-139,3.0,8.0,-5.0,0,0,123,-139,3.0,8.0,5.0
2025-09-14,NYM,TEX,NYM,TEX,0,-1.5,136,-146,5.0,2.0,3.0,1,1,136,-146,5.0,2.0,-3.0
2025-09-14,MIL,STL,STL,MIL,1,-1.5,110,-124,2.0,3.0,-1.0,1,0,-124,110,3.0,2.0,-1.0
2025-09-14,MIN,ARI,ARI,MIN,1,-1.5,170,-192,4.0,6.0,-2.0,0,0,-192,170,6.0,4.0,-2.0
2025-09-14,LAD,SF,LAD,SF,0,-1.5,131,-140,10.0,2.0,8.0,1,1,131,-140,10.0,2.0,-8.0
2025-09-14,SD,COL,SD,COL,0,-1.5,-153,147,9.0,6.0,3.0,1,1,-153,147,9.0,6.0,-3.0
2025-09-14,SEA,LAA,LAA,SEA,1,-1.5,107,-110,11.0,2.0,9.0,1,1,-110,107,2.0,11.0,9.0
2025-09-14,BOS,NYY,NYY,BOS,1,-1.5,146,-167,6.0,4.0,2.0,1,1,-167,146,4.0,6.0,2.0
2025-09-14,PHI,KAN,KAN,PHI,1,-1.5,142,-157,3.0,10.0,-7.0,0,0,-157,142,10.0,3.0,-7.0
2025-09-14,CLE,CWS,CWS,CLE,1,-1.5,138,-155,3.0,2.0,1.0,1,1,-155,138,2.0,3.0,1.0
2025-09-14,CIN,OAK,CIN,OAK,0,-1.5,147,-166,4.0,7.0,-3.0,0,0,147,-166,4.0,7.0,3.0
2025-09-14,DET,MIA,DET,MIA,0,-1.5,127,-143,2.0,0.0,2.0,1,1,127,-143,2.0,0.0,-2.0
