game_pk,date,home_bb_per_9_rolling_5,away_bb_per_9_rolling_5
490099,2017-04-02,0.0,0.0
490106,2017-04-02,0.0,0.0
490110,2017-04-02,0.0,0.0
490098,2017-04-03,0.0,0.0
490100,2017-04-03,0.0,0.0
490101,2017-04-03,0.0,0.0
490103,2017-04-03,0.0,0.0
490104,2017-04-03,0.0,0.0
490105,2017-04-03,0.0,0.0
490107,2017-04-03,0.0,0.0
490108,2017-04-03,0.0,0.0
490109,2017-04-03,0.0,0.0
490111,2017-04-03,0.0,0.0
490112,2017-04-03,0.0,0.0
490102,2017-04-04,0.0,0.0
490113,2017-04-04,0.0,0.0
490114,2017-04-04,0.0,0.0
490115,2017-04-04,0.0,0.0
490116,2017-04-04,0.0,0.0
490117,2017-04-04,0.0,0.0
490118,2017-04-04,0.0,0.0
490119,2017-04-04,0.0,0.0
490136,2017-04-04,0.0,0.0
490120,2017-04-05,0.0,0.0
490122,2017-04-05,0.0,0.0
490123,2017-04-05,0.0,0.0
490125,2017-04-05,0.0,0.0
490126,2017-04-05,0.0,0.0
490127,2017-04-05,0.0,0.0
490128,2017-04-05,0.0,0.0
490129,2017-04-05,0.0,0.0
490130,2017-04-05,0.0,0.0
490131,2017-04-05,0.0,0.0
490132,2017-04-05,0.0,0.0
490133,2017-04-05,0.0,0.0
490134,2017-04-05,0.0,0.0
490121,2017-04-06,0.0,0.0
490135,2017-04-06,0.0,0.0
490137,2017-04-06,0.0,0.0
490138,2017-04-06,0.0,0.0
490139,2017-04-06,0.0,0.0
490140,2017-04-06,0.0,0.0
490141,2017-04-06,0.0,0.0
490142,2017-04-06,0.0,0.0
490144,2017-04-06,0.0,0.0
490145,2017-04-06,0.0,0.0
490146,2017-04-06,0.0,0.0
490147,2017-04-06,0.0,0.0
490148,2017-04-07,0.0,0.0
490149,2017-04-07,0.0,0.0
490150,2017-04-07,0.0,0.0
490151,2017-04-07,0.0,0.0
490152,2017-04-07,0.0,0.0
490153,2017-04-07,0.0,0.0
490154,2017-04-07,0.0,0.0
490155,2017-04-07,0.0,0.0
490156,2017-04-07,0.0,0.0
490157,2017-04-07,0.0,0.0
490158,2017-04-07,0.0,0.0
490159,2017-04-07,0.0,0.0
490160,2017-04-07,0.0,0.0
