game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
744804,2024-09-11,3.0,2.0,4,2,0,1,0,0,3,4,0,0,0.0,4.5,1.33,1.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
744881,2024-09-11,1.0,2.8,3,3,5,1,4,1,0,1,1,0,45.0,3.21,7.0,1.43,0.0,3.21,0.0,1.0,9.0,0.0,36.0,3.21
745127,2024-09-11,4.0,3.0,0,3,0,1,0,1,4,5,0,0,0.0,3.0,0.0,1.33,9.0,15.0,0.0,5.0,0.0,0.0,0.0,3.0
745214,2024-09-11,2.8,3.0,2,1,0,2,0,2,4,1,0,0,0.0,6.0,0.71,1.0,12.86,3.0,0.0,0.5,0.0,0.0,0.0,6.0
745285,2024-09-11,4.0,4.0,3,6,1,2,3,2,3,5,0,0,2.25,4.5,1.5,2.0,6.75,11.25,1.0,2.5,0.0,0.0,6.75,4.5
745450,2024-09-11,1.9,6.0,4,3,1,0,0,0,2,3,0,0,4.74,0.0,2.11,0.5,9.47,4.5,0.0,0.0,0.0,0.0,0.0,0.0
745525,2024-09-11,3.0,2.9,1,2,0,1,0,1,1,1,0,0,0.0,3.1,0.33,1.03,3.0,3.1,0.0,1.0,0.0,0.0,0.0,3.1
745697,2024-09-11,6.0,4.1,3,3,1,0,2,2,6,2,0,0,1.5,0.0,0.83,1.22,9.0,4.39,3.0,1.0,0.0,0.0,3.0,4.39
745857,2024-09-11,5.9,2.8,5,4,2,2,3,1,9,2,1,0,3.05,6.43,1.36,1.79,13.73,6.43,3.0,2.0,1.53,0.0,4.58,3.21
746100,2024-09-11,4.9,5.0,1,4,2,3,6,2,4,3,0,1,3.67,5.4,1.43,1.2,7.35,5.4,0.67,1.5,0.0,1.8,11.02,3.6
746342,2024-09-11,4.0,2.8,1,2,0,0,1,0,3,1,0,0,0.0,0.0,0.5,0.71,6.75,3.21,3.0,0.0,0.0,0.0,2.25,0.0
746425,2024-09-11,4.8,4.9,1,4,0,0,1,1,4,7,0,0,0.0,0.0,0.42,1.02,7.5,12.86,4.0,7.0,0.0,0.0,1.88,1.84
746745,2024-09-11,6.0,4.9,4,2,1,0,3,1,6,9,0,0,1.5,0.0,1.17,0.61,9.0,16.53,2.0,9.0,0.0,0.0,4.5,1.84
746908,2024-09-11,4.0,2.1,4,3,1,1,0,1,1,3,1,1,2.25,4.29,1.0,1.9,2.25,12.86,0.0,3.0,2.25,4.29,0.0,4.29
747154,2024-09-11,5.0,4.8,5,7,1,6,3,1,0,2,0,2,1.8,11.25,1.6,1.67,0.0,3.75,0.0,2.0,0.0,3.75,5.4,1.88
