game_time_est,fav_team,fav_score,dog_team,dog_score,home_team,home_score,away_team,away_score,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,market,fav_pitcher,dog_pitcher,fav_pitcher_era,dog_pitcher_era,fav_pitcher_whip,dog_pitcher_whip,fav_pitcher_so,dog_pitcher_so,fav_pitcher_ip,dog_pitcher_ip,fav_pitcher_avg,dog_pitcher_avg,fav_win_pct,dog_win_pct,fav_ba,dog_ba,fav_era_p,dog_era_p,fav_pitcher_so_in,dog_pitcher_so_in,fav_W,dog_W,fav_L,dog_L,fav_Strk,dog_Strk,fav_R,dog_R,fav_RA,dog_RA,fav_SOS,dog_SOS,fav_SRS,dog_SRS,fav_Luck,dog_Luck,fav_pythWL_pct,dog_pythWL_pct,fav_last10_pct,dog_last10_pct,fav_last20_pct,dog_last20_pct,fav_last30_pct,dog_last30_pct,fav_R/G,dog_R/G,fav_PA,dog_PA,fav_AB,dog_AB,fav_R_b,dog_R_b,fav_H_b,dog_H_b,fav_2B,dog_2B,fav_3B,dog_3B,fav_HR,dog_HR,fav_RBI,dog_RBI,fav_SB,dog_SB,fav_BB_b,dog_BB_b,fav_SO_b,dog_SO_b,fav_BA,dog_BA,fav_OBP,dog_OBP,fav_SLG,dog_SLG,fav_OPS,dog_OPS,fav_OPS+,dog_OPS+,fav_2B_pct,dog_2B_pct,fav_3B_pct,dog_3B_pct,fav_HR_pct,dog_HR_pct,fav_RBI_pct,dog_RBI_pct,fav_RA/G,dog_RA/G,fav_ERA,dog_ERA,fav_SV,dog_SV,fav_H_p,dog_H_p,fav_R_p,dog_R_p,fav_ER,dog_ER,fav_BB_p,dog_BB_p,fav_SO_p,dog_SO_p,fav_ERA+,dog_ERA+,fav_FIP,dog_FIP,fav_WHIP,dog_WHIP,fav_H9,dog_H9
2025-06-14T13:05:00-04:00,WAS,,MIA,,WAS,,MIA,,-1.5,1.5,0.382,0.64,162,-178,1,WAS -1.5,Trevor Williams,Cade Gibson,5.91,0.93,1.44,1.09,49,12,64.0,19.1,0.295,0.219,0.435,0.388,.241,.250,4.96,5.12,0.766,0.628,30,26,39,41,-6,1,4.2,4.1,5.1,5.5,0.0,0.1,-0.9,-1.3,1.0,1.0,0.42,0.373,0.2,0.3,0.4,0.35,0.433,0.4,4.22,4.10,2539,2538,2291,2290,291,275,551,573,112,113,10,8,71,82,277,265,57,53,188,202,530,544,.241,.250,.306,.313,.385,.384,.691,.697,97,92,0.049,0.049,0.004,0.003,0.029,0.026,0.121,0.116,5.09,5.46,4.96,5.12,19,13,607,612,351,366,334,338,236,237,541,534,80,85,4.21,4.40,1.391,1.429,9.0,9.3
2025-06-14T16:05:00-04:00,TEX,,CWS,,TEX,,CWS,,-1.5,1.5,0.559,0.472,-127,112,1,TEX -1.5,Jacob deGrom,Mike Vasil,2.12,2.18,0.92,1.26,74,28,76.1,41.1,0.194,0.201,0.486,0.329,.228,.222,3.13,4.18,0.972,0.681,34,23,36,47,2,-3,3.7,3.5,3.3,4.3,0.0,0.0,0.3,-0.8,-4.0,-5.0,0.543,0.4,0.5,0.5,0.45,0.4,0.5,0.4,3.69,3.47,2515,2556,2282,2279,258,243,520,506,87,108,6,4,58,75,251,233,62,49,187,231,562,601,.228,.222,.291,.295,.371,.344,.662,.639,91,81,0.038,0.047,0.003,0.002,0.033,0.024,0.11,0.102,3.33,4.33,3.13,4.18,19,7,502,584,233,303,212,280,193,252,543,504,120,99,3.58,4.49,1.141,1.387,7.4,8.7
2025-06-14T16:10:00-04:00,HOU,,MIN,,HOU,,MIN,,-1.5,1.5,0.337,0.687,197,-219,1,HOU -1.5,Hunter Brown,Joe Ryan,1.82,2.96,0.96,0.93,93,82,79.0,73.0,0.187,0.2,0.565,0.522,.256,.244,3.49,3.91,1.177,1.123,39,36,30,33,3,-2,4.2,4.2,3.6,4.1,0.0,-0.1,0.6,0.0,0.0,1.0,0.565,0.507,0.7,0.4,0.7,0.45,0.633,0.567,4.16,4.23,2553,2584,2301,2320,287,292,590,566,103,111,7,8,67,74,274,280,41,34,196,205,526,562,.256,.244,.320,.315,.396,.392,.716,.707,100,96,0.045,0.048,0.003,0.003,0.03,0.031,0.119,0.121,3.62,4.10,3.49,3.91,20,14,494,563,250,283,236,264,213,182,672,600,117,107,3.46,3.74,1.162,1.227,7.3,8.3
2025-06-14T16:10:00-04:00,KAN,,OAK,,KAN,,OAK,,-1.5,1.5,0.433,0.6,131,-150,1,KAN -1.5,Michael Lorenzen,Jacob Lopez,4.94,6.0,1.38,1.71,61,31,71.0,24.0,0.27,0.293,0.486,0.38,.251,.255,3.43,5.61,0.859,1.292,34,27,36,44,-4,1,3.4,4.3,3.7,6.0,0.1,-0.1,-0.2,-1.8,2.0,2.0,0.457,0.352,0.3,0.4,0.35,0.25,0.333,0.2,3.36,4.30,2584,2705,2356,2438,235,305,591,621,113,121,14,8,69,104,231,296,54,39,167,230,477,585,.251,.255,.304,.321,.369,.417,.673,.738,88,106,0.048,0.05,0.006,0.003,0.02,0.035,0.098,0.121,3.69,5.96,3.43,5.61,22,15,552,677,258,423,238,392,206,277,569,561,121,74,3.78,4.95,1.215,1.517,8.0,9.7
2025-06-14T22:10:00-04:00,LAD,,SF,,SF,,LAD,,-1.5,1.5,0.464,0.558,116,-126,0,LAD -1.5,Clayton Kershaw,Landen Roupp,4.35,3.29,1.55,1.36,15,63,20.2,68.1,0.284,0.257,0.586,0.586,.263,.233,4.19,3.12,0.743,0.925,41,41,29,29,-1,1,5.5,4.3,4.6,3.5,0.1,-0.2,1.0,0.6,0.0,0.0,0.586,0.586,0.5,0.8,0.5,0.6,0.5,0.567,5.47,4.29,2718,2609,2402,2302,383,300,632,537,117,105,12,11,89,49,367,286,42,42,263,249,578,593,.263,.233,.339,.312,.454,.377,.793,.689,125,99,0.049,0.046,0.005,0.005,0.044,0.03,0.153,0.124,4.56,3.54,4.19,3.12,21,21,574,531,319,248,291,215,252,218,623,604,94,121,4.28,3.33,1.322,1.209,8.3,7.7
2025-06-14T14:20:00-04:00,CHC,,PIT,,PIT,,CHC,,-1.5,1.5,0.494,0.508,102,-103,0,CHC -1.5,Matthew Boyd,Mike Burrows,2.89,5.0,1.23,1.39,70,17,74.2,18.0,0.264,0.257,0.6,0.408,.256,.227,3.63,3.74,0.943,0.944,42,29,28,42,-1,1,5.4,3.2,4.0,4.0,-0.1,0.2,1.4,-0.5,-3.0,0.0,0.643,0.408,0.4,0.7,0.6,0.6,0.633,0.5,5.43,3.23,2729,2629,2434,2339,380,229,623,532,128,90,15,13,73,58,372,219,85,68,250,239,557,620,.256,.227,.327,.305,.439,.340,.766,.645,119,81,0.053,0.038,0.006,0.006,0.039,0.021,0.153,0.094,3.96,3.96,3.63,3.74,16,16,577,543,277,281,253,262,197,211,544,528,105,112,3.91,3.72,1.235,1.195,8.3,7.7
2025-06-14T19:15:00-04:00,NYY,,BOS,,BOS,,NYY,,-1.5,1.5,0.514,0.522,-106,-109,0,BOS +1.5,Carlos Rodón,Hunter Dobbins,2.87,4.2,0.94,1.28,103,37,84.2,49.1,0.167,0.272,0.618,0.493,.258,.254,3.63,4.03,1.223,0.754,42,35,26,36,-1,3,5.4,4.9,3.8,4.6,0.0,0.1,1.5,0.3,-2.0,-2.0,0.647,0.521,0.6,0.6,0.65,0.5,0.667,0.467,5.40,4.89,2646,2777,2309,2478,367,347,595,629,120,136,11,9,68,71,353,333,52,62,275,247,595,659,.258,.254,.341,.328,.461,.423,.802,.750,123,109,0.052,0.055,0.005,0.004,0.047,0.036,0.153,0.134,3.84,4.62,3.63,4.03,21,17,492,615,261,328,243,287,229,235,635,595,113,103,3.66,3.91,1.196,1.327,7.3,8.6
2025-06-14T21:40:00-04:00,SEA,,CLE,,SEA,,CLE,,-1.5,1.5,0.373,0.652,168,-187,1,SEA -1.5,George Kirby,Tanner Bibee,6.53,3.81,1.31,1.2,25,62,20.2,75.2,0.288,0.239,0.5,0.515,.244,.233,4.03,3.95,1.238,0.824,34,35,34,33,1,-1,4.4,3.9,4.5,4.2,-0.2,0.1,-0.3,-0.2,1.0,3.0,0.485,0.471,0.2,0.3,0.3,0.45,0.4,0.4,4.38,3.93,2631,2491,2332,2215,298,267,569,516,91,93,4,6,80,75,289,253,66,54,243,216,604,555,.244,.233,.322,.306,.401,.377,.723,.682,111,92,0.039,0.042,0.002,0.003,0.038,0.032,0.124,0.114,4.51,4.21,4.03,3.95,19,19,604,580,307,286,276,263,212,246,552,572,93,104,4.13,4.12,1.325,1.377,8.8,8.7
2025-06-14T19:15:00-04:00,ARI,,SD,,ARI,,SD,,-1.5,1.5,0.448,0.573,123,-134,1,ARI -1.5,Zac Gallen,Ryan Bergert,5.15,1.26,1.33,0.98,75,8,80.1,14.1,0.232,0.167,0.507,0.559,.255,.246,4.70,3.46,0.936,0.567,35,38,34,30,4,-2,5.1,4.1,5.1,3.8,0.2,0.0,0.2,0.3,0.0,2.0,0.507,0.529,0.7,0.4,0.45,0.55,0.5,0.433,5.09,4.12,2660,2530,2336,2261,351,280,595,557,127,96,14,10,89,68,344,257,53,52,254,214,526,479,.255,.246,.332,.314,.449,.373,.782,.687,117,91,0.054,0.042,0.006,0.004,0.043,0.025,0.147,0.114,5.09,3.82,4.70,3.46,22,24,591,507,351,260,322,232,234,229,582,590,89,119,4.35,3.86,1.339,1.219,8.6,7.6
2025-06-14T16:05:00-04:00,PHI,,TOR,,PHI,,TOR,,-1.5,1.5,0.425,0.595,135,-147,1,PHI -1.5,Cristopher Sánchez,Bowden Francis,3.1,6.12,1.29,1.56,83,50,72.2,60.1,0.239,0.293,0.58,0.551,.255,.255,3.94,4.12,1.15,0.832,40,38,29,31,2,-1,4.6,4.3,4.3,4.3,-0.2,0.0,0.2,0.0,3.0,4.0,0.536,0.493,0.4,0.7,0.45,0.65,0.567,0.633,4.64,4.29,2638,2621,2348,2329,320,296,598,595,108,119,10,3,72,96,304,285,62,38,243,228,545,469,.255,.255,.329,.325,.401,.399,.730,.724,102,102,0.046,0.051,0.004,0.001,0.031,0.03,0.129,0.122,4.28,4.35,3.94,4.12,20,23,593,549,295,300,271,282,211,207,645,620,106,102,3.62,4.24,1.299,1.228,8.6,8.0
