game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
632501,2021-09-11,5.0,3.0,8,4,4,3,3,4,2,4,1,0,7.2,9.0,2.2,2.67,3.6,12.0,0.67,1.0,1.8,0.0,5.4,12.0
632515,2021-09-11,7.0,5.0,7,1,4,1,1,0,4,8,1,1,5.14,1.8,1.14,0.2,5.14,14.4,4.0,0.0,1.29,1.8,1.29,0.0
632517,2021-09-11,4.0,3.9,3,2,2,0,2,1,7,4,0,0,4.5,0.0,1.25,0.77,15.75,9.23,3.5,4.0,0.0,0.0,4.5,2.31
632525,2021-09-11,4.0,1.0,0,3,0,2,1,0,4,2,0,1,0.0,18.0,0.25,3.0,9.0,18.0,4.0,0.0,0.0,9.0,2.25,0.0
632527,2021-09-11,4.0,3.8,5,5,1,3,1,2,3,2,0,0,2.25,7.11,1.5,1.84,6.75,4.74,3.0,1.0,0.0,0.0,2.25,4.74
632529,2021-09-11,4.0,3.8,2,3,0,1,3,3,2,3,0,0,0.0,2.37,1.25,1.58,4.5,7.11,0.67,1.0,0.0,0.0,6.75,7.11
632530,2021-09-11,2.0,3.8,2,1,2,1,0,1,3,2,0,1,9.0,2.37,1.0,0.53,13.5,4.74,0.0,2.0,0.0,2.37,0.0,2.37
632531,2021-09-11,7.8,7.0,6,8,1,1,1,3,10,6,0,1,1.15,1.29,0.9,1.57,11.54,7.71,10.0,2.0,0.0,1.29,1.15,3.86
632533,2021-09-11,3.0,1.0,3,0,0,0,2,0,2,2,0,0,0.0,0.0,1.67,0.0,6.0,18.0,1.0,0.0,0.0,0.0,6.0,0.0
632535,2021-09-11,2.0,5.9,5,3,6,0,1,0,0,1,3,0,27.0,0.0,3.0,0.51,0.0,1.53,0.0,0.0,13.5,0.0,4.5,0.0
632538,2021-09-11,2.0,4.8,5,3,3,1,1,0,1,5,2,0,13.5,1.88,3.0,0.62,4.5,9.38,1.0,0.0,9.0,0.0,4.5,0.0
632539,2021-09-11,3.0,4.9,6,6,6,3,3,2,1,3,1,2,18.0,5.51,3.0,1.63,3.0,5.51,0.33,1.5,3.0,3.67,9.0,3.67
632540,2021-09-11,2.8,2.0,3,4,0,2,1,1,1,3,0,2,0.0,9.0,1.43,2.5,3.21,13.5,1.0,3.0,0.0,9.0,3.21,4.5
632547,2021-09-11,7.0,3.0,9,3,10,1,8,1,8,2,1,0,12.86,3.0,2.43,1.33,10.29,6.0,1.0,2.0,1.29,0.0,10.29,3.0
632551,2021-09-11,3.0,5.0,4,6,2,3,0,4,3,5,1,1,6.0,5.4,1.33,2.0,9.0,9.0,0.0,1.25,3.0,1.8,0.0,7.2
633331,2021-09-11,1.0,3.0,8,1,8,0,2,0,0,4,3,0,72.0,0.0,10.0,0.33,0.0,12.0,0.0,0.0,27.0,0.0,18.0,0.0
