Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-18,Seattle Mariners,1.0,Boston Red Sox,3.0,Final
2025-06-18,Miami Marlins,2.0,Philadelphia Phillies,4.0,Final
2025-06-18,Washington Nationals,1.0,Colorado Rockies,3.0,Final
2025-06-18,New York Yankees,2.0,Los Angeles Angels,3.0,Final
2025-06-18,Toronto Blue Jays,8.0,Arizona Diamondbacks,1.0,Final
2025-06-18,Cincinnati Reds,4.0,Minnesota Twins,2.0,Completed Early
2025-06-18,Atlanta Braves,5.0,New York Mets,0.0,Final
2025-06-18,Tampa Bay Rays,12.0,Baltimore Orioles,8.0,Final
2025-06-18,Texas Rangers,3.0,Kansas City Royals,6.0,Final
2025-06-18,San Francisco Giants,2.0,Cleveland Guardians,4.0,Final
2025-06-18,Athletics,4.0,Houston Astros,11.0,Final
2025-06-18,Los Angeles Dodgers,4.0,San Diego Padres,3.0,Final
2025-06-18,Detroit Tigers,,Pittsburgh Pirates,,Postponed
2025-06-18,Chicago White Sox,,St. Louis Cardinals,,Postponed
2025-06-18,Chicago Cubs,,Milwaukee Brewers,,Postponed
