Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-02,Tampa Bay Rays,6,Athletics,5,Final
2025-07-02,Pittsburgh Pirates,5,St. Louis Cardinals,0,Final
2025-07-02,Washington Nationals,2,Detroit Tigers,11,Final
2025-07-02,Washington Nationals,9,Detroit Tigers,4,Final
2025-07-02,Philadelphia Phillies,4,San Diego Padres,6,Final
2025-07-02,Philadelphia Phillies,5,San Diego Padres,1,Final
2025-07-02,New York Mets,2,Milwaukee Brewers,7,Final
2025-07-02,New York Mets,7,Milwaukee Brewers,3,Final
2025-07-02,Boston Red Sox,5,Cincinnati Reds,3,Final
2025-07-02,Miami Marlins,1,Minnesota Twins,2,Final
2025-07-02,Toronto Blue Jays,11,New York Yankees,9,Final
2025-07-02,Boston Red Sox,4,Cincinnati Reds,8,Final
2025-07-02,Atlanta Braves,8,Los Angeles Angels,3,Final
2025-07-02,Chicago Cubs,5,Cleveland Guardians,4,Final
2025-07-02,Texas Rangers,6,Baltimore Orioles,0,Final
2025-07-02,Colorado Rockies,3,Houston Astros,5,Final
2025-07-02,Seattle Mariners,3,Kansas City Royals,2,Final
2025-07-02,Arizona Diamondbacks,5,San Francisco Giants,6,Final
2025-07-02,Los Angeles Dodgers,5,Chicago White Sox,4,Final
