Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-09,Cleveland Guardians,4,Cincinnati Reds,7,Final
2025-06-09,Pittsburgh Pirates,10,Miami Marlins,3,Final
2025-06-09,Philadelphia Phillies,4,Chicago Cubs,3,Final
2025-06-09,Boston Red Sox,8,Tampa Bay Rays,10,Final
2025-06-09,Milwaukee Brewers,1,Atlanta Braves,7,Final
2025-06-09,St. Louis Cardinals,4,Toronto Blue Jays,5,Final
2025-06-09,Los Angeles Angels,7,Athletics,4,Final
2025-06-09,San Diego Padres,7,Los Angeles Dodgers,8,Final
2025-06-09,Arizona Diamondbacks,8,Seattle Mariners,4,Final
