Date,Home Team,Home Score,Away Team,Away Score,Status
2025-07-01,Toronto Blue Jays,12.0,New York Yankees,5.0,Final
2025-07-01,Pittsburgh Pirates,1.0,St. Louis Cardinals,0.0,Final
2025-07-01,Miami Marlins,2.0,Minnesota Twins,0.0,Final
2025-07-01,Tampa Bay Rays,3.0,Athletics,4.0,Final
2025-07-01,Boston Red Sox,,Cincinnati Reds,,Suspended
2025-07-01,Atlanta Braves,0.0,Los Angeles Angels,4.0,Final
2025-07-01,Chicago Cubs,5.0,Cleveland Guardians,2.0,Final
2025-07-01,Texas Rangers,10.0,Baltimore Orioles,2.0,Final
2025-07-01,Colorado Rockies,5.0,Houston Astros,6.0,Final
2025-07-01,Seattle Mariners,3.0,Kansas City Royals,6.0,Final
2025-07-01,Arizona Diamondbacks,8.0,San Francisco Giants,2.0,Final
2025-07-01,Los Angeles Dodgers,6.0,Chicago White Sox,1.0,Final
2025-07-01,Philadelphia Phillies,,San Diego Padres,,Postponed
2025-07-01,Washington Nationals,,Detroit Tigers,,Postponed
2025-07-01,New York Mets,,Milwaukee Brewers,,Postponed
