Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-23,Baltimore Orioles,6,Texas Rangers,0,Final
2025-06-23,New York Mets,2,Atlanta Braves,3,Final
2025-06-23,Cincinnati Reds,6,New York Yankees,1,Final
2025-06-23,Minnesota Twins,2,Seattle Mariners,11,Final
2025-06-23,Chicago White Sox,0,Arizona Diamondbacks,10,Final
2025-06-23,Milwaukee Brewers,4,Pittsburgh Pirates,5,Final
2025-06-23,St. Louis Cardinals,8,Chicago Cubs,2,Final
2025-06-23,Los Angeles Angels,9,Boston Red Sox,5,Final
2025-06-23,San Diego Padres,6,Washington Nationals,10,Final
