Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-24,Baltimore Orioles,5,Texas Rangers,6,Final
2025-06-24,Detroit Tigers,11,Athletics,4,Final
2025-06-24,Cleveland Guardians,6,Toronto Blue Jays,10,Final
2025-06-24,New York Mets,4,Atlanta Braves,7,Final
2025-06-24,Cincinnati Reds,5,New York Yankees,4,Final
2025-06-24,Kansas City Royals,1,Tampa Bay Rays,5,Final
2025-06-24,Minnesota Twins,5,Seattle Mariners,6,Final
2025-06-24,Chicago White Sox,1,Arizona Diamondbacks,4,Final
2025-06-24,Milwaukee Brewers,9,Pittsburgh Pirates,3,Final
2025-06-24,St. Louis Cardinals,8,Chicago Cubs,7,Final
2025-06-24,Houston Astros,1,Philadelphia Phillies,0,Final
2025-06-24,Colorado Rockies,7,Los Angeles Dodgers,9,Final
2025-06-24,Los Angeles Angels,3,Boston Red Sox,2,Final
2025-06-24,San Diego Padres,4,Washington Nationals,3,Final
2025-06-24,San Francisco Giants,2,Miami Marlins,4,Final
