Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-20,Chicago Cubs,4,Seattle Mariners,9,Final
2025-06-20,Pittsburgh Pirates,2,Texas Rangers,6,Final
2025-06-20,Tampa Bay Rays,14,Detroit Tigers,8,Final
2025-06-20,New York Yankees,3,Baltimore Orioles,5,Final
2025-06-20,Toronto Blue Jays,1,Chicago White Sox,7,Final
2025-06-20,Miami Marlins,6,Atlanta Braves,2,Final
2025-06-20,St. Louis Cardinals,6,Cincinnati Reds,1,Final
2025-06-20,Philadelphia Phillies,10,New York Mets,2,Final
2025-06-20,Minnesota Twins,6,Milwaukee Brewers,17,Final
2025-06-20,Colorado Rockies,8,Arizona Diamondbacks,14,Final
2025-06-20,Los Angeles Angels,2,Houston Astros,3,Final
2025-06-20,San Diego Padres,5,Kansas City Royals,6,Final
2025-06-20,Athletics,5,Cleveland Guardians,1,Final
2025-06-20,Los Angeles Dodgers,6,Washington Nationals,5,Final
2025-06-20,San Francisco Giants,5,Boston Red Sox,7,Final
