Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-05,Atlanta Braves,10,Arizona Diamondbacks,11,Final
2025-06-05,St. Louis Cardinals,6,Kansas City Royals,5,Final
2025-06-05,St. Louis Cardinals,5,Kansas City Royals,7,Final
2025-06-05,Chicago White Sox,3,Detroit Tigers,2,Final
2025-06-05,Toronto Blue Jays,9,Philadelphia Phillies,1,Final
2025-06-05,Athletics,14,Minnesota Twins,3,Final
2025-06-05,Seattle Mariners,3,Baltimore Orioles,4,Final
2025-06-05,San Francisco Giants,3,San Diego Padres,2,Final
2025-06-05,Los Angeles Dodgers,6,New York Mets,5,Final
2025-06-05,Pittsburgh Pirates,2,Houston Astros,8,Final
2025-06-05,Washington Nationals,1,Chicago Cubs,7,Final
2025-06-05,New York Yankees,4,Cleveland Guardians,0,Final
2025-06-05,Tampa Bay Rays,4,Texas Rangers,3,Final
