Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-27,Pittsburgh Pirates,9,New York Mets,1,Final
2025-06-27,Baltimore Orioles,22,Tampa Bay Rays,8,Final
2025-06-27,New York Yankees,3,Athletics,0,Final
2025-06-27,Cincinnati Reds,8,San Diego Padres,1,Final
2025-06-27,Cleveland Guardians,0,St. Louis Cardinals,5,Final
2025-06-27,Boston Red Sox,0,Toronto Blue Jays,9,Final
2025-06-27,Detroit Tigers,1,Minnesota Twins,4,Final
2025-06-27,Atlanta Braves,0,Philadelphia Phillies,13,Final
2025-06-27,Chicago White Sox,1,San Francisco Giants,3,Final
2025-06-27,Texas Rangers,6,Seattle Mariners,7,Final
2025-06-27,Houston Astros,7,Chicago Cubs,4,Final
2025-06-27,Kansas City Royals,4,Los Angeles Dodgers,5,Final
2025-06-27,Milwaukee Brewers,10,Colorado Rockies,6,Final
2025-06-27,Los Angeles Angels,9,Washington Nationals,15,Final
2025-06-27,Arizona Diamondbacks,8,Miami Marlins,9,Final
