Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-17,Miami Marlins,8,Philadelphia Phillies,3,Final
2025-06-17,Detroit Tigers,7,Pittsburgh Pirates,3,Final
2025-06-17,Washington Nationals,6,Colorado Rockies,10,Final
2025-06-17,New York Yankees,0,Los Angeles Angels,4,Final
2025-06-17,Toronto Blue Jays,5,Arizona Diamondbacks,4,Final
2025-06-17,Cincinnati Reds,6,Minnesota Twins,5,Final
2025-06-17,Atlanta Braves,5,New York Mets,4,Final
2025-06-17,Tampa Bay Rays,1,Baltimore Orioles,5,Final
2025-06-17,Chicago White Sox,2,St. Louis Cardinals,12,Final
2025-06-17,Texas Rangers,1,Kansas City Royals,6,Final
2025-06-17,Chicago Cubs,5,Milwaukee Brewers,3,Final
2025-06-17,Seattle Mariners,8,Boston Red Sox,0,Final
2025-06-17,San Francisco Giants,2,Cleveland Guardians,3,Final
2025-06-17,Athletics,3,Houston Astros,13,Final
2025-06-17,Los Angeles Dodgers,8,San Diego Padres,6,Final
