Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-07,Detroit Tigers,1,Chicago Cubs,6,Final
2025-06-07,Cincinnati Reds,4,Arizona Diamondbacks,3,Final
2025-06-07,Minnesota Twins,4,Toronto Blue Jays,5,Final
2025-06-07,St. Louis Cardinals,2,Los Angeles Dodgers,1,Final
2025-06-07,Washington Nationals,0,Texas Rangers,5,Final
2025-06-07,Pittsburgh Pirates,2,Philadelphia Phillies,1,Final
2025-06-07,San Francisco Giants,3,Atlanta Braves,2,Final
2025-06-07,Cincinnati Reds,13,Arizona Diamondbacks,1,Final
2025-06-07,Cleveland Guardians,3,Houston Astros,5,Final
2025-06-07,Chicago White Sox,4,Kansas City Royals,1,Final
2025-06-07,Tampa Bay Rays,10,Miami Marlins,11,Final
2025-06-07,New York Yankees,7,Boston Red Sox,10,Final
2025-06-07,Milwaukee Brewers,4,San Diego Padres,3,Final
2025-06-07,Los Angeles Angels,8,Seattle Mariners,6,Final
2025-06-07,Colorado Rockies,1,New York Mets,8,Final
2025-06-07,Athletics,4,Baltimore Orioles,7,Final
