Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-15,Pittsburgh Pirates,0,Chicago Cubs,4,Final
2025-09-15,Washington Nationals,3,Atlanta Braves,11,Final
2025-09-15,Tampa Bay Rays,1,Toronto Blue Jays,2,Final
2025-09-15,Chicago White Sox,1,Baltimore Orioles,4,Final
2025-09-15,Minnesota Twins,7,New York Yankees,0,Final
2025-09-15,St. Louis Cardinals,6,Cincinnati Reds,11,Final
2025-09-15,Houston Astros,6,Texas Rangers,3,Final
2025-09-15,Arizona Diamondbacks,8,San Francisco Giants,1,Final
2025-09-15,Los Angeles Dodgers,5,Philadelphia Phillies,6,Final
