Date,Home Team,Home Score,Away Team,Away Score,Status
2025-08-17,Washington Nationals,9,Philadelphia Phillies,11,Final
2025-08-17,Boston Red Sox,3,Miami Marlins,5,Final
2025-08-17,Toronto Blue Jays,4,Texas Rangers,10,Final
2025-08-17,Cleveland Guardians,4,Atlanta Braves,5,Final
2025-08-17,Cincinnati Reds,3,Milwaukee Brewers,2,Final
2025-08-17,Houston Astros,0,Baltimore Orioles,12,Final
2025-08-17,Minnesota Twins,8,Detroit Tigers,1,Final
2025-08-17,Kansas City Royals,6,Chicago White Sox,2,Final
2025-08-17,St. Louis Cardinals,4,New York Yankees,8,Final
2025-08-17,Chicago Cubs,4,Pittsburgh Pirates,3,Final
2025-08-17,Colorado Rockies,6,Arizona Diamondbacks,5,Final
2025-08-17,Athletics,5,Los Angeles Angels,11,Final
2025-08-17,San Francisco Giants,7,Tampa Bay Rays,1,Final
2025-08-17,Los Angeles Dodgers,5,San Diego Padres,4,Final
2025-08-17,New York Mets,7,Seattle Mariners,3,Final
