Date,Home Team,Home Score,Away Team,Away Score,Status
2025-09-21,Detroit Tigers,2,Atlanta Braves,6,Final
2025-09-21,Pittsburgh Pirates,11,Athletics,0,Final
2025-09-21,Baltimore Orioles,1,New York Yankees,7,Final
2025-09-21,Cincinnati Reds,1,Chicago Cubs,0,Final
2025-09-21,New York Mets,2,Washington Nationals,3,Final
2025-09-21,Kansas City Royals,5,Toronto Blue Jays,8,Final
2025-09-21,Minnesota Twins,6,Cleveland Guardians,2,Final
2025-09-21,Chicago White Sox,2,San Diego Padres,3,Final
2025-09-21,St. Louis Cardinals,5,Milwaukee Brewers,1,Final
2025-09-21,Texas Rangers,2,Miami Marlins,4,Final
2025-09-21,Colorado Rockies,3,Los Angeles Angels,1,Final
2025-09-21,Los Angeles Dodgers,1,San Francisco Giants,3,Final
2025-09-21,Arizona Diamondbacks,9,Philadelphia Phillies,2,Final
2025-09-21,Houston Astros,3,Seattle Mariners,7,Final
2025-09-21,Tampa Bay Rays,7,Boston Red Sox,3,Final
