Date,Home Team,Home Score,Away Team,Away Score,Status
2025-06-01,Texas Rangers,8,St. Louis Cardinals,1,Final
2025-06-01,Atlanta Braves,1,Boston Red Sox,3,Final
2025-06-01,Baltimore Orioles,3,Chicago White Sox,2,Final
2025-06-01,Philadelphia Phillies,2,Milwaukee Brewers,5,Final
2025-06-01,Toronto Blue Jays,8,Athletics,4,Final
2025-06-01,Cleveland Guardians,4,Los Angeles Angels,2,Final
2025-06-01,New York Mets,5,Colorado Rockies,3,Final
2025-06-01,Miami Marlins,2,San Francisco Giants,4,Final
2025-06-01,Kansas City Royals,0,Detroit Tigers,1,Final
2025-06-01,Houston Astros,1,Tampa Bay Rays,0,Final
2025-06-01,Chicago Cubs,7,Cincinnati Reds,3,Final
2025-06-01,Arizona Diamondbacks,3,Washington Nationals,1,Final
2025-06-01,Seattle Mariners,2,Minnesota Twins,1,Final
2025-06-01,San Diego Padres,6,Pittsburgh Pirates,4,Final
2025-06-01,Los Angeles Dodgers,3,New York Yankees,7,Final
