balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games
37366,777009,2025-07-25,140,144,TEX,ATL,Texas Rangers,Atlanta Braves,Rangers,Braves,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,103,102,53,44,50,58,0.515,0.431,415,422,354,433,61,-11,4.03,4.14,3.44,4.25,0.59,-0.11,0.0,0.0,0.0,0.0,0.515,0.431,0.0,0.0,31,26,20,26,22,18,30,32,W3,L2,0,0,0.0,0.0,0.0,0.0,53-50,44-58,31-20,26-26,22-30,18-32,0-0,0-0,53-50,44-58,8-2,4-6
37361,777020,2025-07-25,110,115,BAL,COL,Baltimore Orioles,Colorado Rockies,Orioles,Rockies,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,107,105,46,27,61,78,0.43,0.257,441,375,565,634,-124,-259,4.12,3.57,5.28,6.04,-1.16,-2.47,0.0,0.0,0.0,0.0,0.43,0.257,0.0,0.0,23,15,26,39,23,12,35,39,W1,W2,0,0,0.0,0.0,0.0,0.0,46-61,27-78,23-26,15-39,23-35,12-39,0-0,0-0,46-61,27-78,3-7,5-5
37360,777014,2025-07-25,134,109,PIT,AZ,Pittsburgh Pirates,Arizona Diamondbacks,Pirates,D-backs,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,104,104,43,50,61,54,0.413,0.481,358,525,416,512,-58,13,3.44,5.05,4.0,4.92,-0.56,0.12,0.0,0.0,0.0,0.0,0.413,0.481,0.0,0.0,29,26,24,28,14,24,37,26,W3,L3,0,0,0.0,0.0,0.0,0.0,43-61,50-54,29-24,26-28,14-37,24-26,0-0,0-0,43-61,50-54,4-6,4-6
37369,777008,2025-07-25,158,146,MIL,MIA,Milwaukee Brewers,Miami Marlins,Brewers,Marlins,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,103,101,62,48,41,53,0.602,0.475,496,431,393,485,103,-54,4.82,4.27,3.82,4.8,1.0,-0.53,0.0,0.0,0.0,0.0,0.602,0.475,0.0,0.0,33,24,17,29,29,24,24,24,W1,W2,0,0,0.0,0.0,0.0,0.0,62-41,48-53,33-17,24-29,29-24,24-24,0-0,0-0,62-41,48-53,9-1,6-4
37363,777015,2025-07-25,147,143,NYY,PHI,New York Yankees,Philadelphia Phillies,Yankees,Phillies,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,103,105,57,60,46,45,0.553,0.571,535,486,425,425,110,61,5.19,4.63,4.13,4.05,1.07,0.58,0.0,0.0,0.0,0.0,0.553,0.571,0.0,0.0,31,35,19,20,26,25,27,25,L1,L1,0,0,0.0,0.0,0.0,0.0,57-46,60-45,31-19,35-20,26-27,25-25,0-0,0-0,57-46,60-45,5-5,5-5
37370,777007,2025-07-25,117,133,HOU,ATH,Houston Astros,Athletics,Astros,Athletics,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,103,105,60,43,43,62,0.583,0.41,451,443,390,586,61,-143,4.38,4.22,3.79,5.58,0.59,-1.36,0.0,0.0,0.0,0.0,0.583,0.41,0.0,0.0,33,20,20,31,27,23,23,31,L1,W1,0,0,0.0,0.0,0.0,0.0,60-43,43-62,33-20,20-31,27-23,23-31,0-0,0-0,60-43,43-62,5-5,4-6
37364,777013,2025-07-25,113,139,CIN,TB,Cincinnati Reds,Tampa Bay Rays,Reds,Rays,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,106,103,54,53,52,50,0.509,0.515,477,483,449,419,28,64,4.5,4.69,4.24,4.07,0.26,0.62,0.0,0.0,0.0,0.0,0.509,0.515,0.0,0.0,29,31,23,28,25,22,29,22,W1,L1,0,0,0.0,0.0,0.0,0.0,54-52,53-50,29-23,31-28,25-29,22-22,0-0,0-0,54-52,53-50,6-4,3-7
37365,777016,2025-07-25,116,141,DET,TOR,Detroit Tigers,Toronto Blue Jays,Tigers,Blue Jays,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,108,104,63,61,45,43,0.583,0.587,527,486,443,451,84,35,4.88,4.67,4.1,4.34,0.78,0.34,0.0,0.0,0.0,0.0,0.583,0.587,0.0,0.0,33,37,20,17,30,24,25,26,L4,W2,0,0,0.0,0.0,0.0,0.0,63-45,61-43,33-20,37-17,30-25,24-26,0-0,0-0,63-45,61-43,1-9,7-3
37371,777005,2025-07-25,138,135,STL,SD,St. Louis Cardinals,San Diego Padres,Cardinals,Padres,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,110,104,58,55,52,49,0.527,0.529,513,415,499,405,14,10,4.66,3.99,4.54,3.89,0.13,0.1,0.0,0.0,0.0,0.0,0.527,0.529,0.0,0.0,32,31,20,18,26,24,32,31,W1,L3,0,0,0.0,0.0,0.0,0.0,58-52,55-49,32-20,31-18,26-32,24-31,0-0,0-0,58-52,55-49,3-7,5-5
37367,777017,2025-07-25,145,112,CWS,CHC,Chicago White Sox,Chicago Cubs,White Sox,Cubs,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,105,102,37,60,68,42,0.352,0.588,389,537,465,420,-76,117,3.7,5.26,4.43,4.12,-0.72,1.15,0.0,0.0,0.0,0.0,0.352,0.588,0.0,0.0,21,33,31,19,16,27,37,23,W1,L1,0,0,0.0,0.0,0.0,0.0,37-68,60-42,21-31,33-19,16-37,27-23,0-0,0-0,37-68,60-42,6-4,6-4
37373,777004,2025-07-25,137,121,SF,NYM,San Francisco Giants,New York Mets,Giants,Mets,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,103,106,54,59,49,47,0.524,0.557,431,460,412,425,19,35,4.18,4.34,4.0,4.01,0.18,0.33,0.0,0.0,0.0,0.0,0.524,0.557,0.0,0.0,28,37,20,17,26,22,29,30,W2,W4,0,0,0.0,0.0,0.0,0.0,54-49,59-47,28-20,37-17,26-29,22-30,0-0,0-0,54-49,59-47,3-7,6-4
