balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games
30273,777272,2025-07-02,134,138,PIT,STL,Pittsburgh Pirates,St. Louis Cardinals,Pirates,Cardinals,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,88,93,38,52,50,41,0.432,0.559,313,446,343,393,-30,53,3.56,4.8,3.9,4.23,-0.34,0.57,0.0,0.0,0.0,0.0,0.432,0.559,0.0,0.0,25,28,21,17,13,24,29,24,W5,L2,0,0,0.0,0.0,0.0,0.0,38-50,52-41,25-21,28-17,13-29,24-24,0-0,0-0,38-50,52-41,7-3,5-5
2545574,777284,2025-07-02,120,116,WSH,DET,Washington Nationals,Detroit Tigers,Nationals,Tigers,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,86,88,35,55,51,33,0.407,0.625,368,445,446,336,-78,109,4.28,5.06,5.19,3.82,-0.91,1.24,0.0,0.0,0.0,0.0,0.407,0.625,0.0,0.0,16,31,25,15,19,24,26,18,W1,W2,0,0,0.0,0.0,0.0,0.0,35-51,55-33,16-25,31-15,19-26,24-18,0-0,0-0,35-51,55-33,5-5,6-4
2545576,777290,2025-07-02,143,135,PHI,SD,Philadelphia Phillies,San Diego Padres,Phillies,Padres,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,87,84,51,45,36,39,0.586,0.536,402,345,358,332,44,13,4.62,4.11,4.11,3.95,0.51,0.15,0.0,0.0,0.0,0.0,0.586,0.536,0.0,0.0,28,25,15,14,23,20,21,25,W2,L2,0,0,0.0,0.0,0.0,0.0,51-36,45-39,28-15,25-14,23-21,20-25,0-0,0-0,51-36,45-39,5-5,5-5
30277,777267,2025-07-02,119,145,LAD,CWS,Los Angeles Dodgers,Chicago White Sox,Dodgers,White Sox,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,86,86,54,28,32,58,0.628,0.326,483,294,388,381,95,-87,5.62,3.42,4.51,4.43,1.1,-1.01,0.0,0.0,0.0,0.0,0.628,0.326,0.0,0.0,31,19,14,25,23,9,18,33,W2,L1,0,0,0.0,0.0,0.0,0.0,54-32,28-58,31-14,19-25,23-18,9-33,0-0,0-0,54-32,28-58,8-2,5-5
30279,777270,2025-07-02,109,137,AZ,SF,Arizona Diamondbacks,San Francisco Giants,D-backs,Giants,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,86,86,43,45,43,41,0.5,0.523,447,353,438,329,9,24,5.2,4.1,5.09,3.83,0.1,0.28,0.0,0.0,0.0,0.0,0.5,0.523,0.0,0.0,22,25,21,17,21,20,22,24,W2,L4,0,0,0.0,0.0,0.0,0.0,43-43,45-41,22-21,25-17,21-22,20-24,0-0,0-0,43-43,45-41,5-5,3-7
30265,777279,2025-07-02,144,108,ATL,LAA,Atlanta Braves,Los Angeles Angels,Braves,Angels,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,85,84,38,42,47,42,0.447,0.5,343,363,336,408,7,-45,4.04,4.32,3.95,4.86,0.08,-0.54,0.0,0.0,0.0,0.0,0.447,0.5,0.0,0.0,23,20,18,20,15,22,29,22,L2,W1,0,0,0.0,0.0,0.0,0.0,38-47,42-42,23-18,20-20,15-29,22-22,0-0,0-0,38-47,42-42,4-6,6-4
30278,777262,2025-07-02,136,118,SEA,KC,Seattle Mariners,Kansas City Royals,Mariners,Royals,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,85,88,44,41,41,47,0.518,0.466,389,296,375,327,14,-31,4.58,3.36,4.41,3.72,0.16,-0.35,0.0,0.0,0.0,0.0,0.518,0.466,0.0,0.0,21,21,20,24,23,20,21,23,L1,W1,0,0,0.0,0.0,0.0,0.0,44-41,41-47,21-20,21-24,23-21,20-23,0-0,0-0,44-41,41-47,6-4,2-8
30275,777266,2025-07-02,112,114,CHC,CLE,Chicago Cubs,Cleveland Guardians,Cubs,Guardians,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,85,86,50,42,35,44,0.588,0.488,458,324,351,366,107,-42,5.39,3.77,4.13,4.26,1.26,-0.49,0.0,0.0,0.0,0.0,0.588,0.488,0.0,0.0,26,21,15,20,24,21,20,24,W1,L5,0,0,0.0,0.0,0.0,0.0,50-35,42-44,26-15,21-20,24-20,21-24,0-0,0-0,50-35,42-44,5-5,3-7
2545575,777289,2025-07-02,121,158,NYM,MIL,New York Mets,Milwaukee Brewers,Mets,Brewers,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,86,84,48,47,38,37,0.558,0.56,372,397,334,341,38,56,4.33,4.73,3.88,4.06,0.44,0.67,0.0,0.0,0.0,0.0,0.558,0.56,0.0,0.0,29,27,12,17,19,20,26,20,L3,L1,0,0,0.0,0.0,0.0,0.0,48-38,47-37,29-12,27-17,19-26,20-20,0-0,0-0,48-38,47-37,3-7,8-2
30276,777269,2025-07-02,115,117,COL,HOU,Colorado Rockies,Houston Astros,Rockies,Astros,American League,American League,AL,AL,Unknown,Unknown,Unknown,Unknown,2025,2025,88,85,20,51,68,34,0.227,0.6,306,356,540,309,-234,47,3.48,4.19,6.14,3.64,-2.66,0.55,0.0,0.0,0.0,0.0,0.227,0.6,0.0,0.0,9,32,34,14,11,19,34,20,L1,W2,0,0,0.0,0.0,0.0,0.0,20-68,51-34,9-34,32-14,11-34,19-20,0-0,0-0,20-68,51-34,2-8,8-2
