Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
116.0,Zach McKinstry*,30.0,DET,AL,1.5,46.0,179.0,155.0,27.0,44.0,9.0,3.0,2.0,17.0,3.0,0.0,21.0,45.0,0.284,0.365,0.419,0.785,124.0,0.35,124.0,65.0,2.0,0.0,1.0,2.0,1.0,95/764H,
117.0,Spencer Steer,27.0,CIN,NL,-0.1,44.0,179.0,164.0,22.0,35.0,8.0,0.0,4.0,12.0,3.0,0.0,14.0,44.0,0.213,0.279,0.335,0.615,67.0,0.284,64.0,55.0,4.0,1.0,0.0,0.0,0.0,3D/7H,
118.0,Kristian Campbell,23.0,BOS,AL,-0.2,42.0,178.0,156.0,19.0,36.0,8.0,0.0,5.0,15.0,2.0,1.0,21.0,50.0,0.231,0.32,0.378,0.698,96.0,0.31,94.0,59.0,0.0,0.0,0.0,1.0,0.0,*4/87,
119.0,Mike Yastrzemski*,34.0,SFG,NL,1.3,45.0,178.0,154.0,22.0,42.0,9.0,0.0,5.0,17.0,5.0,2.0,23.0,39.0,0.273,0.371,0.429,0.799,131.0,0.359,134.0,66.0,3.0,1.0,0.0,0.0,2.0,*9/H,
120.0,Oneil Cruz*,26.0,PIT,NL,0.5,42.0,177.0,145.0,25.0,32.0,5.0,0.0,8.0,18.0,18.0,1.0,28.0,58.0,0.221,0.35,0.421,0.771,114.0,0.362,113.0,61.0,2.0,2.0,0.0,2.0,2.0,*8/HD,
121.0,Matt McLain,25.0,CIN,NL,-0.1,42.0,177.0,151.0,23.0,26.0,3.0,0.0,6.0,17.0,10.0,0.0,21.0,58.0,0.172,0.284,0.311,0.595,62.0,0.297,66.0,47.0,3.0,3.0,1.0,1.0,0.0,*4/DH,
122.0,Gavin Lux*,27.0,CIN,NL,0.2,45.0,175.0,154.0,17.0,45.0,13.0,1.0,1.0,20.0,1.0,0.0,21.0,42.0,0.292,0.377,0.409,0.786,114.0,0.353,115.0,63.0,0.0,0.0,0.0,0.0,0.0,7D/45H,
123.0,Ryan Mountcastle,28.0,BAL,AL,0.1,46.0,175.0,165.0,17.0,38.0,10.0,0.0,2.0,14.0,0.0,0.0,7.0,40.0,0.23,0.263,0.327,0.59,71.0,0.288,85.0,54.0,6.0,1.0,0.0,2.0,0.0,*3/HD,
124.0,Trey Sweeney*,25.0,DET,AL,0.3,48.0,175.0,157.0,25.0,38.0,3.0,1.0,4.0,23.0,2.0,1.0,15.0,40.0,0.242,0.303,0.35,0.653,86.0,0.293,85.0,55.0,1.0,0.0,0.0,3.0,0.0,*6/H,
125.0,Michael Conforto*,32.0,LAD,NL,-0.8,46.0,174.0,146.0,21.0,24.0,9.0,0.0,2.0,6.0,1.0,0.0,23.0,48.0,0.164,0.299,0.267,0.566,63.0,0.27,66.0,39.0,7.0,5.0,0.0,0.0,0.0,*7/H,
