Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2015-08-12,SEA,BAL,3,0,-144,134,-110,100,7.5,7.5,7.5,7.5,110,-130,110,-120
2015-08-12,NYM,COL,3,0,-180,170,-225,205,7.0,7.0,6.5,6.5,110,-130,-110,-110
2015-08-12,ARI,PHI,6,7,-158,148,-163,153,8.5,8.5,8.0,8.0,100,-120,-105,-115
2015-08-12,TOR,OAK,10,3,-213,197,-176,166,8.5,8.5,8.5,8.5,-120,100,105,-125
2015-08-12,SLC,PIT,4,2,-119,109,-116,106,6.5,6.5,6.5,6.5,100,-120,105,-125
2015-08-12,MIN,TEX,11,1,-110,100,-121,111,9.0,9.0,9.0,9.0,-110,-110,-120,100
2015-08-12,TB,ATL,9,6,-200,185,-220,200,7.0,7.0,7.0,7.0,-115,-105,100,-120
2015-08-12,KC,DET,4,7,-179,169,-165,155,8.0,8.0,7.5,7.5,-115,-105,104,-114
2015-08-12,CHW,LAA,3,2,119,-129,103,-113,8.5,8.5,8.5,8.5,100,-120,-115,-105
2015-08-12,SF,HOU,0,2,-142,132,-129,119,7.5,7.5,7.0,7.0,-105,-115,-125,105
2015-08-12,MIA,BOS,15,6,104,-114,113,-123,7.5,7.5,7.0,7.0,-125,105,-110,100
2015-08-12,CLE,NYY,2,1,-131,121,-116,106,8.0,8.0,7.5,7.5,-110,-110,105,-125
2015-08-12,LAD,WAS,3,0,-213,197,-195,183,6.0,6.0,6.0,6.0,-110,-110,-105,-115
2015-08-12,CHC,MIL,3,2,-176,166,-180,170,7.5,7.5,8.0,8.0,-115,-105,-105,-115
2015-08-12,SD,CIN,3,7,-142,132,-125,115,7.0,7.0,7.0,7.0,110,-130,-107,-103
