Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2015-06-30,NYM,CHC,0,1,-115,105,105,-115,7.0,7.0,7.0,7.0,-120,100,-120,100
2015-06-30,PHI,MIL,3,4,-148,138,-125,115,7.0,7.0,7.0,7.0,-110,-110,100,-110
2015-06-30,SD,SEA,0,5,-121,111,-118,108,7.0,7.0,7.5,7.5,-110,-110,105,-115
2015-06-30,ARI,LAD,4,6,110,-120,100,-110,9.0,9.0,9.0,9.0,-110,-110,102,-112
2015-06-30,OAK,COL,1,2,-168,158,-140,130,7.0,7.0,7.5,7.5,105,-125,-115,105
2015-06-30,BAL,TEX,6,8,-141,131,-138,128,8.5,8.5,8.5,8.5,100,-120,-120,110
2015-06-30,HOU,KC,4,0,-147,137,-145,135,7.5,7.5,7.0,7.0,105,-125,115,-125
2015-06-30,CIN,MIN,5,8,-114,104,-120,110,7.5,7.5,8.0,8.0,-120,100,-110,-110
2015-06-30,TB,CLE,2,6,-108,-102,128,-138,7.0,7.0,7.0,7.0,-120,100,100,-120
2015-06-30,SLC,CHW,1,2,-105,-105,-101,-109,6.5,6.5,5.5,5.5,-125,105,-112,102
2015-06-30,TOR,BOS,3,4,-139,129,-140,130,8.5,8.5,9.0,9.0,-115,-105,-110,-110
2015-06-30,LAA,NYY,2,1,-115,105,-130,120,8.0,8.0,7.5,7.5,-110,-110,-125,105
2015-06-30,ATL,WAS,1,6,118,-128,104,-114,6.5,6.5,6.5,6.5,-120,100,-105,-115
2015-06-30,DET,PIT,4,5,118,-128,100,-110,7.5,7.5,7.5,7.5,-105,-115,-120,100
2015-06-30,MIA,SF,5,3,-105,-105,-122,112,7.5,7.5,7.0,7.0,-125,-125,-105,-115
