Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2015-04-06,MIL,COL,0,10,-165,155,-142,132,8.5,8.5,9.0,9.0,100,-120,100,-110
2015-04-06,MIA,ATL,1,2,-120,110,-145,135,6.5,6.5,7.0,7.0,-120,100,-120,100
2015-04-06,ARI,SF,4,5,155,-165,127,-137,7.5,7.5,7.5,7.5,100,-120,-110,-110
2015-04-06,SEA,LAA,4,1,-144,134,-155,145,6.5,6.5,6.5,6.5,-110,-110,-120,100
2015-04-06,PHI,BOS,0,8,-119,109,-105,-105,7.0,7.0,7.5,7.5,-130,110,101,-111
2015-04-06,TB,BAL,2,6,-129,119,-122,112,7.0,7.0,7.0,7.0,-125,105,-115,-105
2015-04-06,DET,MIN,4,0,-197,186,-150,140,7.0,7.0,8.0,8.0,100,-120,-110,100
2015-04-06,CIN,PIT,5,2,-130,120,-115,105,6.5,6.5,7.0,7.0,-110,-110,112,-122
2015-04-06,LAD,SD,6,3,-175,165,-190,180,6.0,6.0,6.0,6.0,-110,-110,-110,100
2015-04-06,NYY,TOR,1,6,-149,139,-129,119,7.5,7.5,8.0,8.0,-120,100,-105,-115
2015-04-06,KC,CHW,10,1,-130,120,-119,109,7.0,7.0,7.5,7.5,-120,100,105,-115
2015-04-06,OAK,TEX,8,0,-150,140,-153,143,7.0,7.0,7.0,7.0,100,-120,-115,-105
2015-04-06,HOU,CLE,2,0,104,-114,-102,-108,7.0,7.0,7.5,7.5,-130,110,-105,-115
2015-04-06,WAS,NYM,1,3,-209,193,-165,155,7.0,7.0,7.0,7.0,100,-120,-110,100
