Date,Away Team,Away Starter,Home Team,Home Starter
2025-05-27,Los Angeles Dodgers,Dustin May,Cleveland Guardians,Tanner Bibee
2025-05-27,St. Louis Cardinals,Andre Pallante,Baltimore Orioles,Tomoyuki Sugano
2025-05-27,San Francisco Giants,Logan Webb,Detroit Tigers,Jack Flaherty
2025-05-27,Atlanta Braves,Spencer Strider,Philadelphia Phillies,Ranger Suárez
2025-05-27,Minnesota Twins,Joe Ryan,Tampa Bay Rays,Taj Bradley
2025-05-27,Chicago White Sox,Jonathan Cannon,New York Mets,Tylor Megill
2025-05-27,Cincinnati Reds,Brady Singer,Kansas City Royals,Daniel Lynch IV
2025-05-27,Boston Red Sox,TBD,Milwaukee Brewers,Aaron Civale
2025-05-27,Colorado Rockies,Germán Márquez,Chicago Cubs,Cade Horton
2025-05-27,Toronto Blue Jays,Bowden Francis,Texas Rangers,Nathan Eovaldi
2025-05-27,Athletics,JP Sears,Houston Astros,Hunter Brown
2025-05-27,New York Yankees,Carlos Rodón,Los Angeles Angels,Tyler Anderson
2025-05-27,Pittsburgh Pirates,Mike Burrows,Arizona Diamondbacks,Corbin Burnes
2025-05-27,Washington Nationals,Mitchell Parker,Seattle Mariners,Logan Evans
2025-05-27,Miami Marlins,Max Meyer,San Diego Padres,Stephen Kolek
