date,home_team,away_team,home_odds,away_odds,home_is_favorite,pick_made,pick_is_home,pick_is_favorite,pick_odds,edge,market_home_prob,market_away_prob,xgb_home_prob,xgb_away_prob,regressed_home_prob,regressed_away_prob,pick_correct,units,home_score,away_score
6/25/2026,BOS,NYY,144.0,-147.0,0,BOS,1,0,144.0,1.727737704918031,0.4098360655737705,0.5951417004048583,0.4592,0.5408,0.4271134426229508,0.5761221052631579,1.0,1.44,6.0,3.0
6/26/2026,TOR,TEX,100.0,-106.0,0,TEX,0,1,-106.0,2.0242912621359244,0.5,0.5145631067961165,0.4276,0.5724,0.4746599999999999,0.5348060194174757,1.0,0.9433962264150944,4.0,5.0
6/26/2026,TB,ARI,-127.0,125.0,1,TB,1,1,-127.0,1.6355022026431687,0.5594713656387665,0.4444444444444444,0.6062,0.3938,0.5758263876651982,0.4267188888888888,1.0,0.7874015748031497,6.0,1.0
6/26/2026,CLE,SEA,-104.0,100.0,1,CLE,1,1,-104.0,0.5493627450980365,0.5098039215686274,0.5,0.5255,0.4745,0.5152975490196078,0.491075,0.0,-1.0,1.0,3.0
6/26/2026,MIL,CHC,-245.0,239.0,1,CHC,0,0,239.0,1.586016224188791,0.7101449275362319,0.2949852507374631,0.6597,0.3403,0.6924892028985508,0.310845412979351,0.0,-1.0,6.0,2.0
6/26/2026,MIN,COL,-153.0,147.0,1,MIN,1,1,-153.0,0.7894920948616657,0.6047430830039525,0.4048582995951417,0.6273,0.3727,0.6126380039525692,0.393602894736842,1.0,0.6535947712418301,9.0,8.0
6/26/2026,LAA,OAK,117.0,-120.0,0,LAA,1,0,117.0,2.5714677419354848,0.4608294930875576,0.5454545454545454,0.5343,0.4657,0.4865441705069124,0.5175404545454545,0.0,-1.0,3.0,9.0
6/26/2026,SD,LAD,130.0,-135.0,0,SD,1,0,130.0,1.8836086956521725,0.4347826086956521,0.574468085106383,0.4886,0.5114000000000001,0.4536186956521739,0.552394255319149,1.0,1.3,7.0,1.0
6/27/2026,DET,HOU,-125.0,122.0,1,DET,1,1,-125.0,0.6350555555555526,0.5555555555555556,0.45045045045045046,0.5737,0.4263,0.5619061111111111,0.44199779279279283,,,,
6/27/2026,TOR,TEX,-178.0,174.0,1,TEX,0,0,174.0,3.399777372262769,0.6402877697841727,0.36496350364963503,0.5379,0.46209999999999996,0.6044520503597123,0.3989612773722627,,,,
6/27/2026,PIT,CIN,106.0,-111.0,0,PIT,1,0,106.0,1.8677087378640822,0.4854368932038835,0.5260663507109005,0.5388,0.46120000000000005,0.5041139805825243,0.5033631279620854,,,,
6/27/2026,CHW,KC,-133.0,127.0,1,CHW,1,1,-133.0,3.327959227467814,0.5708154506437768,0.44052863436123346,0.6659,0.33409999999999995,0.604095042918455,0.4032786123348017,,,,
6/27/2026,SD,LAD,178.0,-182.0,0,SD,1,0,178.0,2.7330719424460415,0.3597122302158273,0.6453900709219859,0.4378,0.5622,0.38704294964028774,0.6162735460992907,,,,
6/27/2026,LAA,OAK,-102.0,100.0,1,LAA,1,1,-102.0,2.1752326732673244,0.504950495049505,0.5,0.5671,0.43289999999999995,0.5267028217821782,0.476515,,,,
